Plot_ID,AOS_year,AOS_pest,AOS_severity,Burn_status,dNBR_count,dNBR_mean,dNBR_median,dNBR_min,dNBR_max,dNBR_range,Fire_ID,Fire_Name,CBI_A,CBI_B,CBI_C,CBC_D,CBI_US,CBI_OS,CBI_TOT,Elevation,Aspect,Slope_%,UTM_E,UTM_N,UTM_Zone,Sam_SPEC_CD_1,Sam_SPEC_PCT_1,Sam_SPEC_CD_2,Sam_SPEC_PCT_2,Sam_SPEC_CD_3,Sam_SPEC_PCT_3,satellite,PLI_PC,SX_PC,BL_PC,FDI_PC,SB_PC,SE_PC,AT_PC,ACT_PC,conifer_PC,broadleaf_PC,CBI_dNBR_VRI_March2021_csv_new_test,CBI_dNBR_VRI_March2021_csv_AOS_YEAR,CBI_dNBR_VRI_March2021_csv_AOS_FHF,CBI_dNBR_VRI_March2021_csv_AOS_SEV,BUFF_DIST,FEATURE_ID,MAP_ID,POLYGON_ID,OPENING_IND,POLYGON_AREA,SURFACE_EXPRESSION,MODIFYING_PROCESS,SITE_POSITION_MESO,SOIL_NUTRIENT_REGIME,BCLCS_LEVEL_2,BCLCS_LEVEL_3,BCLCS_LEVEL_4,BCLCS_LEVEL_5,REFERENCE_YEAR,ATTRIBUTION_BASE_DATE,PROJECTED_DATE,SHRUB_HEIGHT,SHRUB_CROWN_CLOSURE,SHRUB_COVER_PATTERN,HERB_COVER_TYPE,HERB_COVER_PATTERN,HERB_COVER_PCT,BRYOID_COVER_PCT,NON_VEG_COVER_PATTERN_1,NON_VEG_COVER_PCT_1,NON_VEG_COVER_TYPE_1,NON_VEG_COVER_PATTERN_2,NON_VEG_COVER_PCT_2,NON_VEG_COVER_TYPE_2,NON_VEG_COVER_PATTERN_3,NON_VEG_COVER_PCT_3,NON_VEG_COVER_TYPE_3,NON_VEG_COVER_SUM,LAND_COVER_CLASS_CD_1,EST_COVERAGE_PCT_1,SOIL_MOISTURE_REGIME_1,LAND_COVER_CLASS_CD_2,EST_COVERAGE_PCT_2,SOIL_MOISTURE_REGIME_2,LAND_COVER_CLASS_CD_3,EST_COVERAGE_PCT_3,SOIL_MOISTURE_REGIME_3,ORG_UNIT_CODE,BEC_ZONE_CODE,BEC_SUBZONE,BEC_VARIANT,BEC_PHASE,EARLIEST_NONLOGGING_DIST_TYPE,EARLIEST_NONLOGGING_DIST_DATE,STAND_PERCENTAGE_DEAD,FREE_TO_GROW_IND,HARVEST_DATE,QUAD_DIAM_125,EST_SITE_INDEX_SPECIES_CD,EST_SITE_INDEX,CROWN_CLOSURE,CROWN_CLOSURE_CLASS_CD,SITE_INDEX,BASAL_AREA,VRI_LIVE_STEMS_PER_HA,VRI_DEAD_STEMS_PER_HA,TREE_COVER_PATTERN,VERTICAL_COMPLEXITY,SPECIES_CD_1,SPECIES_PCT_1,SPECIES_CD_2,SPECIES_PCT_2,SPECIES_CD_3,SPECIES_PCT_3,SPECIES_CD_4,SPECIES_PCT_4,SPECIES_CD_5,SPECIES_PCT_5,SPECIES_CD_6,SPECIES_PCT_6,PROJ_AGE_1,PROJ_AGE_CLASS_CD_1,PROJ_AGE_2,PROJ_AGE_CLASS_CD_2,PROJ_HEIGHT_1,PROJ_HEIGHT_CLASS_CD_1,PROJ_HEIGHT_2,PROJ_HEIGHT_CLASS_CD_2,LIVE_VOL_PER_HA_SPP1_125,LIVE_VOL_PER_HA_SPP2_125,LIVE_VOL_PER_HA_SPP3_125,LIVE_VOL_PER_HA_SPP4_125,LIVE_STAND_VOLUME_125,DEAD_STAND_VOLUME_125,WHOLE_STEM_BIOMASS_PER_HA,BRANCH_BIOMASS_PER_HA,FOLIAGE_BIOMASS_PER_HA,BARK_BIOMASS_PER_HA
BS011,2006,IBM,M,Medium,9,0.321436909,0.304238617,0.222712785,0.412756294,0.190043509,R21721,Nadina,1,1.25,1.88,1.1,1.35,1.1,1.28,764.519531,88,17,647069,5993769,9,SX,60,PLI,30,AT,5,Sentinel 2,30,60,5,0,0,0,5,0,95,5,100,2006,IBM,M,30,10812578,093L007,92542627,N,8.1,N,N,L,D,T,U,TC,OP,2013,2015-02-08,2016-01-01,3,15,3,HE,8,25,10,,,,,,,,,,0,TC,100,5,,,,,,,DND,SBS,dk,,,IBM,2003-01-01,,N,,33.33,,,35,3,13.9,29.9499,351,50,8,3,SX,90,AT,5,PLI,5,,,,,,,173,8,123,7,30.2,4,26.2,3,243.093,7.249,14.01,,264.352,,120.64,23.096,12.099,14.011
BS011,2006,IBM,M,Medium,9,0.321436909,0.304238617,0.222712785,0.412756294,0.190043509,R21721,Nadina,1,1.25,1.88,1.1,1.35,1.1,1.28,764.519531,88,17,647069,5993769,9,SX,60,PLI,30,AT,5,Sentinel 2,30,60,5,0,0,0,5,0,95,5,100,2006,IBM,M,30,10812452,093L007,95322250,N,119.4,N,N,M,C,T,U,TC,OP,2013,2015-02-08,2016-01-01,1.5,15,3,HE,8,30,10,2,1,RZ,,,,,,,1,TC,100,4,,,,,,,DND,SBS,dk,,,IBM,2003-01-01,56,N,,27.632,,,30,3,12.3,19.90192,348,550,8,3,SX,60,PLI,30,AT,5,BL,5,,,,,173,8,163,8,28.3,3,26.1,3,94.507,52.693,4.289,6.389,157.878,216.098,77.023,12.91,7.981,8.772
BS011,2006,IBM,M,Medium,9,0.321436909,0.304238617,0.222712785,0.412756294,0.190043509,R21721,Nadina,1,1.25,1.88,1.1,1.35,1.1,1.28,764.519531,88,17,647069,5993769,9,SX,60,PLI,30,AT,5,Sentinel 2,30,60,5,0,0,0,5,0,95,5,100,2006,IBM,M,30,10812235,093L007,94412759,N,1.7,U,N,M,D,T,U,TC,SP,2011,2015-02-08,2016-01-01,0.6,35,8,HE,6,25,5,1,6,LL,2,4,RZ,,,,10,TC,100,4,,,,,,,DND,SBS,dk,,,,,,Y,1999-01-01,,SX,18,15,1,18,1,4280,0,8,2,SX,70,PLI,20,AT,10,,,,,,,14,1,13,1,1.3,1,3.6,1,,,,,,,,,,
BS012,2006,IBM,M,Medium,8,0.514159095,0.504661322,0.416392237,0.697627068,0.281234831,R21721,Nadina,2.1,2.25,2.63,1.8,2.31,1.8,2.17,746.865906,22,11,647331,5993552,9,AT,60,SX,40, ,0,Sentinel 2,0,40,0,0,0,0,60,0,40,60,100,2006,IBM,M,30,10811981,093L007,95732629,N,2.5,N,N,M,C,T,U,TM,OP,2013,2015-02-08,2016-01-01,2.5,30,8,HE,3,15,,,,,,,,,,,0,TM,100,4,,,,,,,DND,SBS,dk,,,,,,N,,25.73,,,35,3,17.2,20.30765,393,50,8,3,AT,60,SX,40,,,,,,,,,123,7,153,8,26.2,3,26.3,3,63.273,67.554,,,130.827,,85.7,15.488,5.075,15.559
BS013,2006,IBM,M,Medium,8,0.49075418,0.46589379,0.454367161,0.565290332,0.110923171,R21721,Nadina,1.3,2,2,1.8,1.73,1.8,1.75,745.018433,38,20,647434,5993486,9,AT,60,SX,40, ,0,Sentinel 2,0,40,0,0,0,0,60,0,40,60,100,2006,IBM,M,30,10811981,093L007,95732629,N,2.5,N,N,M,C,T,U,TM,OP,2013,2015-02-08,2016-01-01,2.5,30,8,HE,3,15,,,,,,,,,,,0,TM,100,4,,,,,,,DND,SBS,dk,,,,,,N,,25.73,,,35,3,17.2,20.30765,393,50,8,3,AT,60,SX,40,,,,,,,,,123,7,153,8,26.2,3,26.3,3,63.273,67.554,,,130.827,,85.7,15.488,5.075,15.559
BS013,2006,IBM,M,Medium,8,0.49075418,0.46589379,0.454367161,0.565290332,0.110923171,R21721,Nadina,1.3,2,2,1.8,1.73,1.8,1.75,745.018433,38,20,647434,5993486,9,AT,60,SX,40, ,0,Sentinel 2,0,40,0,0,0,0,60,0,40,60,100,2006,IBM,M,30,10812266,093L007,97132634,N,17.5,U,N,M,D,T,U,TM,SP,2013,2015-02-08,2016-01-01,0.6,35,6,HE,8,40,5,2,2,RZ,,,,,,,2,TM,100,4,,,,,,,DND,SBS,dk,,,,,,N,,,AT,18,10,1,18,1,400,2,8,4,AT,80,SX,20,,,,,,,,,18,1,58,3,7.4,1,12.9,2,,,,,,,,,,
BS014,2006,IBM,M,Unburned,7,0.008948939,-0.012058377,-0.041851103,0.089555562,0.131406665,R21721,Nadina,0,0,0,0.3,0,0.3,0.08,848.831665,60,2,648105,5991712,9,PLI,55,SX,30,BL,10,Sentinel 2,55,30,10,0,0,0,5,0,95,5,100,2006,IBM,M,30,13601281,093L007,99601451,N,19.1,U,N,M,D,T,U,TC,OP,2013,2015-02-08,2016-01-01,1,10,3,HE,8,35,5,2,2,RZ,1,1,LL,,,,3,TC,100,4,,,,,,,DND,SBS,dk,,,,,,Y,1998-01-01,,PLI,18,40,4,18,4,4377,10,8,2,PLI,55,SX,30,BL,10,AT,5,,,,,15,1,13,1,4.3,1,1.2,1,,,,,,,,,,
BS015,2006,IBM,M,High,7,0.83248737,0.834052086,0.71036607,0.937013388,0.226647317,R21721,Nadina,2.9,2.38,3,2.6,2.77,2.6,2.72,838.04541,flat,3,647009,5990701,9,PLI,60,SX,35,AT,5,Sentinel 2,60,35,0,0,0,0,5,0,95,5,100,2006,IBM,M,30,10812325,093L007,99041017,N,99.2,N,N,M,C,T,U,TC,OP,2013,2015-02-10,2016-01-01,1,10,3,HE,3,15,10,2,1,RZ,,,,,,,1,TC,100,4,,,,,,,DND,SBS,dk,,,IBM,2007-01-01,33,N,,21.631,,,40,4,14.3,20.278641,587,400,8,2,PLI,60,SX,35,AT,5,,,,,,,78,4,78,4,17.4,2,18.7,2,67.249,36.493,2.983,,106.725,52.381,54.612,7.667,5.311,5.919
BS016,2006,IBM,M,Medium,7,0.342267032,0.352345705,0.270849407,0.369222164,0.098372757,R21721,Nadina,0.4,0.75,1.88,1.5,0.96,1.5,1.11,880.201477,130,35,647294,5990658,9,PLI,60,SX,35,AT,5,Sentinel 2,60,35,0,0,0,0,5,0,95,5,100,2006,IBM,M,30,10811784,093L007,95471001,N,8.9,U,N,M,D,T,U,TC,SP,2010,2015-02-11,2016-01-01,0.4,20,6,HE,8,50,10,2,2,RZ,,,,,,,2,TC,100,4,,,,,,,DND,SBS,dk,,,,,,N,2006-01-01,,PLI,18,11,1,18,0,2543,0,8,2,PLI,50,SX,30,AT,20,,,,,,,9,1,9,1,1.9,1,0.5,1,,,,,,,,,,
BS016,2006,IBM,M,Medium,7,0.342267032,0.352345705,0.270849407,0.369222164,0.098372757,R21721,Nadina,0.4,0.75,1.88,1.5,0.96,1.5,1.11,880.201477,130,35,647294,5990658,9,PLI,60,SX,35,AT,5,Sentinel 2,60,35,0,0,0,0,5,0,95,5,100,2006,IBM,M,30,10812325,093L007,99041017,N,99.2,N,N,M,C,T,U,TC,OP,2013,2015-02-10,2016-01-01,1,10,3,HE,3,15,10,2,1,RZ,,,,,,,1,TC,100,4,,,,,,,DND,SBS,dk,,,IBM,2007-01-01,33,N,,21.631,,,40,4,14.3,20.278641,587,400,8,2,PLI,60,SX,35,AT,5,,,,,,,78,4,78,4,17.4,2,18.7,2,67.249,36.493,2.983,,106.725,52.381,54.612,7.667,5.311,5.919
BS017,2006,IBM,M,Medium,6,0.322135041,0.307301596,0.282291889,0.392850012,0.110558122,R21721,Nadina,0.5,0.63,0.5,0.8,0.54,0.8,0.61,889.709473,198,27,647535,5991199,9,AT,90,SX,10, ,0,Sentinel 2,0,10,0,0,0,0,90,0,10,90,100,2006,IBM,M,30,10811753,093L007,96471267,N,6.6,N,F,M,C,T,U,TB,OP,2013,2015-02-11,2016-01-01,1,5,3,HE,8,35,,3,4,BR,1,3,TA,,,,7,TB,100,3,,,,,,,DND,SBS,dk,,,,,,N,,22.266,,,40,4,15.3,21.071171,546,0,8,3,AT,90,SX,10,,,,,,,,,78,4,78,4,19.4,2,21.8,3,76.582,14.58,,,91.162,,65.316,11.363,2.728,13.636
BS018,2006,IBM,M,Medium,7,0.571847034,0.535469174,0.340003103,0.758204103,0.418200999,R21721,Nadina,2.4,2.25,2.63,2.2,2.42,2.2,2.36,831.8125,286,12,647346,5991521,9,SX,60,BL,25,AT,10,Sentinel 2,5,60,25,0,0,0,10,0,90,10,100,2006,IBM,M,30,13601278,093L007,96681351,N,26.2,M,N,M,C,T,U,TC,OP,2013,2015-02-08,2016-01-01,1.5,15,3,HE,8,30,10,3,2,BR,,,,,,,2,TC,100,3,,,,,,,DND,SBS,dk,,,IBM,2003-01-01,11,N,,19.944,,,25,2,13.7,8.19533,392,20,8,3,SX,60,BL,25,AT,10,PLI,5,,,,,83,5,73,4,17.7,2,14.6,2,20.142,5.841,3.191,2.628,31.802,8.847,18.137,3.623,2.237,2.361
BS018,2006,IBM,M,Medium,7,0.571847034,0.535469174,0.340003103,0.758204103,0.418200999,R21721,Nadina,2.4,2.25,2.63,2.2,2.42,2.2,2.36,831.8125,286,12,647346,5991521,9,SX,60,BL,25,AT,10,Sentinel 2,5,60,25,0,0,0,10,0,90,10,100,2006,IBM,M,30,10812186,093L007,93921436,N,5.3,N,N,M,C,T,U,TC,SP,2010,2015-02-08,2016-01-01,0.4,25,6,HE,8,45,10,2,3,ES,,,,,,,3,TC,100,4,,,,,,,DND,SBS,dk,,,,,,N,2006-01-01,,PLI,18,11,1,18,0,2543,0,8,2,PLI,50,SX,30,AT,20,,,,,,,9,1,9,1,1.9,1,0.5,1,,,,,,,,,,
BS019,2006,IBM,M,Medium,6,0.569483121,0.574195117,0.511115372,0.63333565,0.122220278,R21721,Nadina,1.67,2.38, ,1.1,2.07,1.1,1.67,813.393738,110,19,646501,5988576,9,AT,90,SX,10, ,0,Sentinel 2,0,10,0,0,0,0,90,0,10,90,100,2006,IBM,M,30,10812011,093L007,89349727,N,3.1,N,N,M,C,T,U,TB,OP,2013,2015-02-10,2016-01-01,1.3,10,3,HE,3,20,,2,3,RZ,,,,,,,3,TB,100,4,,,,,,,DND,SBS,dk,,,,,,N,,15.354,AT,18,55,5,18,22.9751,1875,0,8,4,AT,90,SX,10,,,,,,,,,28,2,78,4,11.2,2,21.8,3,22.662,16.749,,,39.411,,41.907,7.372,1.961,8.421
BS020,2006,IBM,M,Unburned,7,0.06088984,0.063874781,0.022210002,0.102546036,0.080336034,R21721,Nadina,0,0,0,0,0,0,0,823.517517,110,15,646461,5988412,9,PLI,85,AT,5,BL,5,Sentinel 2,85,5,5,0,0,0,5,0,95,5,100,2006,IBM,M,30,10811545,093L007,82129740,N,111,N,N,M,D,T,U,TC,OP,2013,2015-02-10,2016-01-01,1,5,3,HE,3,10,5,2,1,RZ,,,,,,,1,TC,100,4,,,,,,,DND,SBS,dk,,,,,,N,1984-01-01,14.034,PLI,15,60,6,15,4.27955,533,0,8,2,PLI,85,AT,5,BL,5,SX,5,,,,,30,2,30,2,9,1,11,2,2.497,0.048,0.047,0,2.592,,6.146,0.758,0.626,0.658
BS021,2006,IBM,M,High,7,0.936139345,0.951738238,0.868967414,0.99258709,0.123619676,R21721,Nadina,2,2.13,1.25,1.9,1.81,1.9,1.83,809.3349,177,39,645870,5987905,9,SX,60,AT,20,PLI,20,Sentinel 2,20,60,0,0,0,0,20,0,80,20,100,2006,IBM,M,30,10812197,093L007,86919315,N,31.7,U,N,M,C,N,U,HE,DE,2013,2015-02-14,2016-01-01,1,15,3,HE,8,65,10,2,2,RZ,,,,,,,2,HE,100,4,,,,,,,DND,SBS,dk,,,IBM,2013-01-01,95,N,,29.634,PLI,16,1,0,12.7,0.99903,15,450,3,4,SX,60,AT,20,PLI,20,,,,,,,138,7,83,5,25.4,3,21.4,3,4.019,0.784,1.623,,6.426,148.232,3.298,0.563,0.292,0.431
BS021,2006,IBM,M,High,7,0.936139345,0.951738238,0.868967414,0.99258709,0.123619676,R21721,Nadina,2,2.13,1.25,1.9,1.81,1.9,1.83,809.3349,177,39,645870,5987905,9,SX,60,AT,20,PLI,20,Sentinel 2,20,60,0,0,0,0,20,0,80,20,100,2006,IBM,M,30,10811884,093L007,86489455,N,8.2,N,F,M,C,T,U,TB,SP,2013,2015-02-14,2016-01-01,1.3,10,3,HE,8,60,,2,3,RZ,1,2,ES,,,,5,TB,100,3,,,,,,,DND,SBS,dk,,,,,,N,,17.885,AT,16,20,2,16.8,11.493541,532,0,8,4,AT,80,PLI,10,ACT,5,SX,5,,,,,48,3,58,3,15.7,2,16.6,2,28.943,6.881,1.578,2.204,39.606,,29.786,5.01,1.339,5.864
