Plot_ID,Burn_status,Fire_ID,Fire_Name,Field_Date,Aspect,Slope_%,UTM_Zone,UTM_E,UTM_N,LFH_cov,Moss_cov,Soil_Rock_cov,Fuelbed_cov,CBI_A,herb_cov,shrub_cov,tree_cov,CBI_B,CBI_C,CBI_D,CBI_US,CBI_Over,CBI_tot,DOB_average,CWD_Pattern,broadcast_burned,disc_trenched,mounded,brushed,spaced,Lv_Pli_BA,Dd_Pli_BA,Lv_Sx_BA,Dd_Sx_BA,Lv_Bl_BA,Dd_Bl_BA,Lv_At_BA,Dd_At_BA,Lv_Ac_BA,Dd_Ac_BA,Lv_W_BA,Dd_W_BA,Lv_oth_BA,Dd_oth_BA,Prism_BA,CanopyBaseHt,PCQ_density
IL02,unburned,R11921,Island,2021-08-28,300,3,10,350072,5973863,45,55,1,5,0,25,10,60,0,0,0,0,0,0,0,sparse,1,0,0,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,76,6.89,1874
IL03,burned,R11921,Island,2021-08-28,170,14,10,350191,5973849,45,55,1,5,2.875,25,10,60,2.875,2.25,2.25,2.666666667,2.25,2.458333333,7,sparse,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,60,6.02,1945
IL04,unburned,R11921,Island,2021-08-28,319,1,10,352040,5977521,15,75,1,5,0,55,8,60,0,0,0,0,0,0,0,sparse,0,1,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,72,4.43,2334
IL05,burned,R11921,Island,2021-08-28,282,5,10,351924,5977497,15,75,1,5,2.75,55,8,60,2.5,2.875,2.083333333,2.708333333,2.083333333,2.569444444,10.7,sparse,,,,,,0,24,0,0,0,0,0,0,0,0,0,0,0,0,48,5.08,2189
IL06,burned,R11921,Island,2021-08-29,60,2,10,351273,5977355,30,30,2,5,2.625,30,5,55,2.625,2.5,2.083333333,2.583333333,2.083333333,2.402777778,4.2,sparse,1,1,0,0,0,0,39,0,6,0,0,0,0,0,0,0,0,0,0,90,4.31,4474
IL07,unburned,R11921,Island,2021-08-29,347,18,10,350289,5977057,10,40,0,2,0,75,20,75,0,0,0,0,0,0,0,sparse,0,0,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,72,3.41,3390
IL08,unburned,R11921,Island,2021-08-29,344,19,10,348785,5976470,10,45,1,10,0,80,35,55,0,0,0,0,0,0,0,few,1,1,0,0,0,33,0,0,0,2,0,0,0,0,0,0,0,0,0,70,2.76,7695
IL09,burned,R11921,Island,2021-08-29,290,11,10,348742,5976497,10,45,1,10,2.125,80,35,55,2.75,2.25,1.583333333,2.375,1.583333333,1.986111111,6.7,few,0,1,0,0,0,0,31,0,0,0,4,0,0,0,0,0,0,0,0,70,2.3,7561
IL10,unburned,R11921,Island,2021-08-29,157,11,10,349392,5979084,45,35,2,3,0,40,5,55,0,0,0,0,0,0,0,sparse,0,1,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,96,5.08,2577
IL11,burned,R11921,Island,2021-08-29,184,5,10,347953,5979035,40,25,1,5,1.6,60,5,45,2.5,1.125,1.3,1.741666667,1.3,1.341666667,9.6,few,0,0,0,0,0,26,15,0,0,0,0,0,0,0,0,0,0,0,0,82,4.68,2047
IL12,unburned,R11921,Island,2021-08-29,250,2,10,357175,5978448,15,70,1,8,0,80,20,50,0,0,0,0,0,0,0,few,0,1,0,0,0,35,3,2,0,0,0,0,0,0,0,0,0,0,0,80,4.46,2946
IL13,burned,R11921,Island,2021-08-29,172,1,10,357144,5978827,15,70,1,8,1.625,80,20,50,2.625,1.5,1.25,1.916666667,1.25,1.458333333,7.2,few,0,1,0,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0,68,3.51,2481
