"OPENING_ID","PlantAge","Reburn","High","Low","Medium","Unburned","DecVRICov","ConVRICov","PineVRICov","FirVRICov","SpruVRICov","DFirVRICov","CanopCloVRI","AgeVRI","HeightVRI","BA_VRI","Mn_dNBR","Spaced","Brushed","SitePrepped","Fertil","Prune","Planted","NumDenuda","HarvType","SurIM-Con","SurM-Con","SurY-Con","SurCrClos","SurBA","SurM-75Pine","SurM-Pine","SurM-PineMix","Sur-Low","Sur-Medium","Sur-Unburned","sur_dNBR","Sur-AgeCl-1","Sur-AgeCl-4","Sur-High","SurIM-75Con","SurNA-NF","SurY-75Con","Sur-AgeCl-3","Sur-AgeCl-2","SurIM-50_50","SurY-50_50","SurM-75Con","SurM-50_50","SurIM-Dec","SurM-Dec","Sur-AgeCl-5","TotArea","1922","1926","1928","1931","1946","1956","1961","1967","1978","1979","1985","1987","1988","1990","1991","1995","1999","2006","2008","2009","2010","2011","2013","2014","2018","Md_DOB","DEM_Slop","DEM_Asp","DEM_tpi","DEM_hli"
-478550000,24,0,0.398329208715045,0.0191055307761703,0.582565260508785,0,4.6,75.4,63.8,0,75.4,0,33.5,58.9,10.25,8.2361379,0.275983095169067,1,0,1,0,0,1,1,"CC",0.252119468814266,0.303760964595406,0.20466440953979,31.3,31.3,0.2043939313648,0.075814991104423,0.0235520421261831,0.437186683578898,0.435445615054014,0.0129237898366403,0.133828952908516,0.552392521259834,NA,0.114443911530448,NA,0.239455157050538,NA,0.232746105057551,NA,NA,NA,NA,NA,NA,NA,NA,406653.880044207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,0.125891562383704,2.08021891590775,303.522177184654,0.54037793003697
-478540000,32,0,0,0,0,1,0.714285714285714,99.2857142857143,64.2857142857143,0,67.1428571428571,32.1428571428571,38.5714285714286,93,13.3,5.59007428571429,0.030183631926775,0,0,1,0,0,0,1,"CC",0.306322321893359,0.331153567717182,0.362524110389459,35.4545454545455,35.4545454545455,0.0422355086275664,0.0990443379714888,0.0841333600358398,NA,NA,1,0.0259609986096621,NA,NA,NA,NA,NA,NA,NA,0.739226483307313,NA,NA,NA,NA,NA,NA,NA,115430.676175825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,0.107806570563964,1.53990567293693,268.287522683932,0.537043743950176
-478530000,24,0,0,0.022585160536422,0.030180616364677,0.947234223098901,8.14285714285714,91.8571428571429,53.4285714285714,0,71.5714285714286,20.2857142857143,47.1428571428571,99.8571428571429,14.2285714285714,15.5487738571429,0.0460460558533669,0,0,1,0,0,1,1,"CC",0.244172818242446,0.537724417968019,0.206458201404048,42.2727272727273,42.2727272727273,0.155813023789879,0.233392781977427,0.148518612200713,0.146664867800015,0.179232299282846,0.674102832917139,0.0474891122430563,NA,0.220324879585931,NA,NA,0.0116445623854873,NA,0.000223241609686835,0.490168478853795,NA,NA,NA,NA,NA,NA,NA,86386.815326375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,0.112368839764103,2.66360724148984,260.622289283988,0.560406733112237
-478520000,24,0,0,0.0119649353935069,0.0194487419897278,0.968586322616765,13.3333333333333,86.6666666666667,60.4166666666667,0,72.5083333333333,14.1583333333333,39.1666666666667,60.8333333333333,9.84166666666667,9.04767825,0.0259805098176003,0,0,1,0,0,1,1,"CC",0.049514075603748,0.515213014814107,0.25680612406134,32.5789473684211,32.5789473684211,0.282838382360776,0.00238680429061714,0.229987828162713,0.090876558054328,0.0978493190683659,0.811274122877306,0.0286066010594368,NA,0.184856533086297,NA,0.0597514077860344,0.0278071728814356,0.0909082048533357,NA,0.376364906138237,NA,NA,NA,NA,NA,NA,NA,584718.408356542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243,0.197409454000665,2.11654844595128,252.27149796962,0.571004160172013
-478510000,32,0,0.217914009145657,0.00386793802597401,0.778218052828369,0,3.33333333333333,96.6666666666667,96.6666666666667,0,96.6666666666667,0,36.6666666666667,17.3333333333333,5.13333333333333,2.59918666666667,0.225380048155785,0,0,1,0,0,0,1,"CC",0.0523098106724909,NA,0.928532141486754,32.1428571428571,32.1428571428571,NA,NA,NA,0.227319874140147,0.762445893275942,0.010050587502185,0.126908630132675,NA,NA,0.000183645081725715,NA,0.0191580478407549,NA,0.0463717606716315,0.872014754050747,NA,NA,NA,NA,NA,NA,NA,43698.9006521478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,0.05554371962932,3.47666026271728,281.379840461575,0.582156840635806
-478500000,25,0,0,0.355757555100772,0.124814674201741,0.519427770697487,1.5,88.5,58.21,0,45.65,23.15,28.35,64.4,12.295,9.5042225,0.0720743611454964,0,0,1,0,0,1,1,"CC",0.496305382470645,0.255119606970993,0.0522576769885773,20.5555555555556,20.5555555555556,0.0245563698753501,0.0672943892231033,0.121871069803619,0.428892868374245,0.291245787959991,0.249853568235569,0.0940621420741081,0.206993577705523,0.116750456755221,0.0300077754301949,0.0112114113477961,0.182949681855,0.00215624036698803,0.348231941011209,0.0478273125787952,NA,NA,NA,NA,NA,NA,NA,303418.880228631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,0.1176031544876,3.05168366159661,256.965476787196,0.637158516497739
-478490000,36,0,0.174388111369813,0.074139229121619,0.25607139149249,0.495401268016078,0.375,99.625,79.3875,0,99.625,0,37.5,53.375,11.1125,10.217863625,0.0589163545519114,0,0,1,0,0,0,1,"CC",0.807093938776615,0.145649360202596,0.0280295054252415,33.3333333333333,33.3333333333333,0.0365552013664091,NA,0.109094158836187,0.0555141916279748,0.273338069355265,0.471168675137033,0.109701827168465,0.304214818884353,NA,0.199979063879727,NA,0.019227195595548,NA,0.515783180125163,0.328237395535202,NA,NA,NA,NA,NA,NA,NA,212419.32541975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,0.0681639039674057,3.18209300884324,321.58505614191,0.604094041591017
-478480000,36,0,0,0.0316508017672672,0.00142956372152757,0.966919634511205,0,91.6666666666667,46.2583333333333,0,91.6666666666667,0,29.1666666666667,76.3333333333333,12.8416666666667,9.62658841666667,0.0163115235045552,1,0,1,0,0,0,1,"CC",0.112106762051015,0.559088022392099,0.314217359136567,27.1052631578947,27.1052631578947,0.0861895319281224,NA,0.0840797079845265,0.285099836665387,0.118028846514298,0.596871316820314,0.0264003649353981,0.499391408168926,NA,NA,NA,0.0145878564203192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520071.505147987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,0.111525512808099,3.02245361431117,316.286852335193,0.539275145561425
-478470000,36,0,0,0.0198607439089753,0.0580045379957075,0.922134718095317,0,100,74.0166666666667,0,100,0,37.5,61.8333333333333,10.3166666666667,10.3853985,0.0259883496910334,0,0,1,0,0,0,1,"CC",0.307960382279964,0.260532073413406,0.43150754430663,33.125,33.125,NA,0.0182764813445455,0.24225559206886,0.242559392078437,0.115398609944351,0.642041997977212,0.0324748754501343,0.623703443741774,NA,NA,NA,NA,NA,0.301145259360832,NA,NA,NA,NA,NA,NA,NA,NA,648681.317409314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,0.213983689444501,3.55108934543366,332.490494831117,0.62634119494635
-478460000,37,0,0,0.0490728124585644,0.02308201577772,0.927845171763716,8.86666666666667,91.1333333333333,67.8,0,83.4666666666667,7.66666666666667,34.6666666666667,72.6666666666667,11.72,10.8343353333333,0.0348731987178326,1,0,1,0,0,0,1,"CC",0.133905617195226,0.424651146856504,0.286480362042296,32.2222222222222,32.2222222222222,0.171409601062284,0.135261709866562,0.117979835927657,0.138684833386386,0.236014053242634,0.62530111337098,0.0367217771708965,0.0320182510841323,NA,NA,0.0678787250877473,0.0316877864303967,0.0553963623878305,0.129077875395927,0.139893758796081,NA,NA,NA,NA,NA,NA,NA,557554.197621217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243,0.128680267811912,2.57721647733058,246.43464266149,0.529343536278097
