"OPENING_ID","PlantAge","Reburn","High","Low","Medium","Unburned","DecVRICov","ConVRICov","PineVRICov","FirVRICov","SpruVRICov","DFirVRICov","CanopCloVRI","AgeVRI","HeightVRI","BA_VRI","Mn_dNBR","Spaced","Brushed","SitePrepped","Fertil","Prune","Planted","NumDenuda","HarvType","SurIM-75Con","SurIM-Con","SurM-50_50","SurM-75Con","SurY-Con","SurCrClos","SurBA","SurM-PineMix","Sur-High","Sur-Low","Sur-Medium","Sur-Unburned","sur_dNBR","Sur-AgeCl-1","SurM-Con","SurNA-NF","SurM-Pine","Sur-AgeCl-2","SurM-75Pine","Sur-AgeCl-4","Sur-AgeCl-3","Sur-AgeCl-5","SurIM-50_50","SurY-50_50","SurY-75Con","SurIM-Dec","SurM-Dec","TotArea","1922","1930","1941","1985","2009","2013","2014","2016","Md_DOB","DEM_Slop","DEM_Asp","DEM_tpi","DEM_hli"
1648894,3,0,0,0.501911894680704,0.17760040349913,0.320487701820166,0,81.4814814814815,23.8925925925926,28.8851851851852,52.5962962962963,0,31.1111111111111,78.4814814814815,14.8592592592593,12.0262565925926,0.454152062535286,0,0,0,0,0,1,4,"CC",NA,0.946082135661712,NA,NA,NA,35.1282051282051,35.1282051282051,0.0274320059289166,0.00337351944658758,0.400123030470573,0.168631150996943,0.427872299085897,0.378732144832611,0.0244901373972202,0.0291475246940626,0.0247703396442251,NA,NA,1.60623075041918e-06,NA,NA,NA,NA,NA,NA,NA,NA,2284430.74448163,NA,NA,NA,NA,NA,NA,NA,NA,227,0.206725279400984,2.47340040669319,305.996126385517,0.615218644634394
1649298,2,0,0,0.570519205800115,0.342408690322187,0.0870721038776983,0,91.6666666666667,35.8333333333333,12.9166666666667,78.75,0,36.6666666666667,76.4166666666667,17.1,14.47401875,0.487850069999695,0,0,0,0,0,1,2,"CC",NA,0.9833549671139,NA,NA,NA,38.0555555555556,38.0555555555556,0.00253519892733468,NA,0.303332796417801,0.134131357510631,0.562535846071568,0.370433986186981,0.433158355053578,0.00253519892733468,0.0141098339587657,NA,NA,NA,0.0835179462112389,NA,NA,NA,NA,NA,NA,NA,334712.683895648,NA,NA,NA,NA,NA,NA,NA,NA,227,0.270210157788667,2.22962955034004,282.965058779006,0.59274147840523
1649300,2,0,0,0.667806068561014,0.293176710462364,0.039017220976623,0,78.5714285714286,33.5714285714286,16.4285714285714,62.1428571428571,0,32.8571428571429,69.6428571428571,14.8571428571429,12.6269437142857,0.645962506532669,0,0,0,0,0,1,2,"CC",NA,0.838254062202178,NA,NA,NA,31.6666666666667,31.6666666666667,NA,NA,0.529802998746116,0.238062493242711,0.232134508011173,0.371706500649452,0.0995449156536181,NA,0.161745937797822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1018807.99579865,NA,NA,NA,NA,NA,NA,NA,NA,226,0.254067937364132,2.95182169302567,289.546829558192,0.707955974430829
1651288,2,0,0,0.251466798479855,0.188436749706509,0.560096451813635,5,45,30,0,45,0,20,37,8.8,15.4053935,0.479015901684761,0,0,0,0,0,1,1,"CC",NA,0.718939987483022,NA,NA,NA,29.1666666666667,29.1666666666667,0.00267857591556744,NA,0.104307637099179,0.795978269959378,0.0997140929414424,0.802822679281235,0.00503358653868804,0.00267857591556744,0.0250599864016588,NA,NA,NA,NA,NA,NA,0.253321450199752,NA,NA,NA,NA,5994.91604901796,NA,NA,NA,NA,NA,NA,NA,NA,226,0.19548005759716,5.04587163329124,209.525018310547,0.595103538036346
1651296,2,0,0,0.274172747501769,0,0.725827252498231,5,45,7.5,0,20,25,12.5,77,10.65,12.374565,0.445323973894119,0,0,0,0,0,1,1,"CC",NA,0.344175306284107,NA,NA,NA,14,14,0.518090880846798,NA,0.692799067590816,0.0762718702365376,0.230929062172646,0.522325247526169,NA,0.611789227777554,0.044035465938339,0.0936983469307561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4784.0846135001,1,NA,NA,NA,NA,NA,NA,NA,226,0.278525561094284,5.44680948257446,233.707006835938,0.633890247344971
1654077,3,0,0,0.736201342377068,0.159252287016472,0.104546370606459,7.90697674418605,82.7906976744186,53.6279069767442,4.09302325581395,75.7906976744186,2.90697674418605,24.2558139534884,120.581395348837,18.1,22.0316580697674,0.652561753988266,0,0,0,0,0,1,1,"CC",NA,0.0494795934660712,0.00566587587792749,NA,0.0800222754137355,22.25,22.25,0.225332753168483,NA,0.493837842230352,0.355104768260037,0.151057389509611,0.651246041059494,0.0389825980421825,0.751765772394836,0.101350591841139,0.442339518391465,NA,0.0456619079048547,NA,NA,NA,0.0117158910062903,NA,NA,NA,NA,2059320.18328856,0.216450514140423,NA,NA,NA,NA,NA,NA,NA,226,0.270338428050025,4.61471510309146,232.785319054994,0.605437605482617
1654089,2,0,0,0.814071548721929,0.0808995083424525,0.105028942935618,2,78,44,3,73,2,21.2,65.2,11.82,16.1144154,0.638983488082886,0,0,0,0,0,1,1,"CC",NA,0.624799419744443,NA,NA,0.196957818604582,19.5,19.5,0.000942062899644158,NA,0.29023750950426,0.60813162371055,0.101630866785191,0.754205673933029,0.196724035376345,0.0819120575526814,0.0963307040982939,0.0809699946530372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40408.7002962644,NA,NA,NA,NA,NA,NA,NA,NA,226,0.220338400114666,2.31952985287221,210.330943714489,0.49266684868119
1656064,7,0,0,0.0489450881907061,0.0891919151275801,0.861862996681714,45.8888888888889,54.1111111111111,15.2222222222222,2.77777777777778,51.3333333333333,0,36.2222222222222,82.2222222222222,19.8666666666667,21.7571851111111,0.21398563683033,0,0,0,0,0,0,1,"CC",0.127827617563078,0.0917223012074835,NA,NA,NA,37.3636363636364,37.3636363636364,NA,NA,0.381321593476117,0.378797613487342,0.239880793036541,0.422702983021736,NA,0.119865940707332,NA,NA,NA,NA,NA,0,NA,0.660584140522107,NA,NA,NA,NA,548979.576444305,NA,NA,NA,NA,NA,NA,NA,NA,225,0.137841071131067,2.45594269336743,190.42495983947,0.610101157397375
1657449,1,0,0,0.657635842017672,0.296576954186535,0.0457872037957935,2.5,75.2777777777778,47.5,0,75.2777777777778,0,13.6666666666667,74.4444444444444,11.5055555555556,7.271144,0.512940406799316,0,0,0,0,0,1,2,"CC",NA,NA,NA,NA,0.389392790110747,13.1818181818182,13.1818181818182,0.181081402548349,NA,0.38881284899175,0.422656739807163,0.188530411201086,0.497193783521652,0.291815057382452,0.610567832432992,3.9377456260629e-05,0.159076308413924,0.30607828666247,4.22981771820423e-05,NA,NA,NA,NA,NA,NA,NA,NA,474722.630000504,1,NA,NA,NA,NA,NA,NA,NA,226,0.108260425714249,3.34376505843807,203.58517600825,0.607098307792783
1661594,3,0,0,0.099039148267172,0.900960851732828,0,0,100,80.02,0,100,0,35.2,65.2,12.66,25.445613,0.705222547054291,0,0,0,0,0,1,1,"CC",NA,0.609637820174595,NA,NA,7.67350238290554e-05,30.625,30.625,0.0207267010182712,NA,0.128581943477348,0.814077155282631,0.0573409012400204,0.637966275215149,NA,0.390285444801576,NA,NA,NA,0.369558743783304,NA,NA,NA,NA,NA,NA,NA,NA,41647.295252467,NA,NA,NA,NA,NA,NA,NA,NA,226,0.128911637266477,3.19408650365141,217.113335503472,0.610909934838613
