"OPENING_ID","SITE_PREP_","SITEPr_1_Meth","SITE_PREP1","SITE_PRE_1","SITE_PRE_2","SITEPr_2_Meth","SITE_PRE_3","SITE_PRE_4","SITE_PRE_5","SITEPr_3_Type","SITEPr_3_Meth","SITEPr_3_Area","SITEPr_3_Date","SITEPr_4","SITEPr_4_Type","SITEPr_4_Meth","SITEPr_4_Area","SITEPr_4_Date","PLANTING_1","PLANTING_2","PLANTING_3","PLANT_1_SP1","PLANT_1_NUM2","PLANT_1_SP2","PLANT_1_NUM2","PLANTING_4","PLANTING_5","PLANTING_6","PLANT_2_SP1","PLANT_2_NUM1","PLANT_2_SP2","PLANT_2_NUM2","PLANTING_C","PLANT_3_Type","PLANT_3_Meth","PLANT_3_Area","PLANT_3_Date","PLANT_3_SP1","PLANT_3_NUM1","PLANT_3_SP2","PLANT_3_NUM2"
-584140000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-584110000,"ME",NA,13,1989-09-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",13,1990-05-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-584080000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",2,1991-05-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-584070000,"ME",NA,4,1988-10-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",4,1989-06-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-584060000,"ME",NA,8,1989-08-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",8,1990-05-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-583990000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",3,1988-06-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-583980000,"ME",NA,4,1988-09-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",4,1989-05-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-583970000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",29,1987-06-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-583940000,"ME",NA,3,1992-10-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",52,1988-05-01,NA,NA,NA,NA,"PL",4,1993-05-01,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
-583920000,"ME",NA,21,1984-06-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",63,1987-05-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-583910000,"ME",NA,25,1985-08-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",29,1987-05-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-583900000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",5.8,1996-06-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-583890000,"BU",NA,12,1983-09-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",11,1985-05-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-583850000,"ME",NA,51,1983-08-01,"ME",NA,51,1988-11-01,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",46,1989-05-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
