"OPENING_ID","PlantAge","Reburn","High","Low","Medium","Unburned","DecVRICov","ConVRICov","PineVRICov","FirVRICov","SpruVRICov","DFirVRICov","CanopCloVRI","AgeVRI","HeightVRI","BA_VRI","Mn_dNBR","Spaced","Brushed","SitePrepped","Fertil","Prune","Planted","NumDenuda","HarvType","SurIM-Con","SurM-50_50","SurM-Con","SurCrClos","SurBA","SurM-75Pine","SurM-PineMix","Sur-Low","Sur-Medium","Sur-Unburned","sur_dNBR","Sur-AgeCl-1","Sur-AgeCl-3","SurM-75Con","SurNA-NF","SurY-50_50","SurY-Con","SurM-Pine","Sur-High","Sur-AgeCl-2","SurIM-50_50","SurY-75Con","SurIM-75Con","TotArea","Md_DOB","DEM_Slop","DEM_Asp","DEM_tpi","DEM_hli"
75545,18,0,0,0.139182142763723,0.0198467206499331,0.840971136586344,13.7058823529412,86.2941176470588,32.4705882352941,0,86.2941176470588,0,24.4705882352941,109,14.3647058823529,11.5909270588235,0.0112066306173801,0,0,0,0,0,1,1,"CC",NA,NA,0.794279333958333,23.2608695652174,23.2608695652174,NA,0.31089055936175,0.352963680359084,0.0681963003227294,0.578840019318186,0.0433501321822405,0.152429192555602,NA,NA,NA,0.0266912213786564,0.0467053577500057,0.14219598421972,NA,NA,NA,0.132324086913005,NA,644564.499866983,213,0.0627913031441923,2.74313598663384,257.152799970648,0.580570218268405
75548,18,0,0,0.155091759731259,0.0444388844002091,0.800469355868532,15.5,84.5,33,0,84.5,0,17,93.7,15.25,7.3792539,0.0215925630182028,0,0,0,0,0,1,1,"CC",NA,0.0283834939215322,0.626339836208133,17.9411764705882,17.9411764705882,NA,0.539429324528569,0.476911579503261,0.0190830806897216,0.504005339807017,0.069017618894577,0.190811836583145,NA,NA,NA,NA,0.345276669870334,NA,NA,NA,NA,NA,NA,483479.165807451,199,0.0474555761927617,2.99638540854799,256.937719612478,0.583313488403213
75549,18,0,0,0.403367762019926,0.178437895242799,0.418194342737275,10.625,89.375,29.69375,0,89.375,0,26.5,103.625,14.55,10.662543125,0.0768164098262787,0,0,0,0,0,1,1,"CC",0.3816189195791,0.0453247473281022,0.556660910535072,26.3333333333333,26.3333333333333,NA,0.426516174048934,0.536142612953896,0.268670049488375,0.195187337557728,0.117336522787809,0.0997084540548842,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0163954225577257,NA,627650.617812435,213,0.0653925865677812,2.75809929771721,250.987819064125,0.578081054786699
108518,10,0,0,0.0494125315366928,0,0.950587468463307,16.5,83.5,69.3333333333333,0,83.5,0,23.6666666666667,55.6666666666667,8.63333333333333,6.83941633333333,-0.00882725557312369,0,1,1,0,0,1,1,"CC",NA,NA,0.372015210470939,23.4444444444444,23.4444444444444,NA,0.110891596586493,0.217790682259495,NA,0.782209317740505,0.0397652611136436,0.199133740489177,NA,NA,NA,NA,0.495769013957543,0.253703066496742,NA,0.303560511721485,NA,0.132215775571518,NA,155614.517111652,213,0.0578011300029426,2.06079322633858,257.084770465719,0.571194641206456
117303,10,0,0,0.166325451810194,0.00611962854739527,0.82755491964241,4.73684210526316,95.2631578947368,58.4736842105263,0,76.7894736842105,0,16.8421052631579,88.1578947368421,13.4210526315789,6.85768578947368,0.00848269928246737,0,0,1,0,0,1,1,"CC",0.0924593465195595,NA,0.74393457548944,16.5185185185185,16.5185185185185,0.0961964376775577,0.247721619098096,0.447823021621748,0.133360070933299,0.418816907444953,0.0968595966696739,0.246028228585242,NA,NA,NA,NA,0.163606077991001,0.255591378265838,NA,0.131074613804475,NA,NA,NA,525520.140578586,199,0.0739559529046171,2.83022027600436,255.968704145649,0.583845124943293
1504590,3,0,0,0,0,1,0,88.8888888888889,65.5555555555556,0,25.5555555555556,0,41.1111111111111,121.333333333333,18.5888888888889,24.6126951111111,0.00699788518249989,0,0,0,0,0,1,2,"CC",0.656980591114108,NA,0.283560552797504,34.1176470588235,34.1176470588235,0.0857510520096298,0.0649754706393305,NA,NA,1,0.00303688179701567,NA,NA,NA,0.0594588560883879,NA,NA,0.132834030148544,NA,NA,NA,NA,NA,658159.66397439,216,0.125282306607594,3.79128529218573,337.360485399646,0.642768481810018
1565335,2,0,0,0.438790256435123,0.0406903629543773,0.520519380610499,2.14285714285714,81.1904761904762,62.5,0,18.6904761904762,0,44.2857142857143,105.261904761905,18.1119047619048,24.8180243095238,0.0830598101019859,0,0,0,0,0,1,3,"CC",0.119032448303862,NA,0.734808569340372,40.2127659574468,40.2127659574468,0.0297474501168712,0.0553323568209298,0.41142769308379,0.334169618881608,0.254402688034602,0.0887686610221863,NA,NA,NA,0.146158982355765,NA,NA,0.618872458783221,NA,NA,NA,NA,NA,5603568.91267866,216,0.120196086114502,4.02835735600166,268.287641375004,0.606610490035296
1596462,4,0,0,0.660966829634121,0.337817031264882,0.00121613910099773,2.75,97.25,64,2.5,30.75,0,25,67.75,14.35,10.28296225,0.100610464811325,0,0,1,0,0,0,1,"CC",0.884235337986212,NA,0.021724179117426,26.1666666666667,26.1666666666667,NA,0.021724179117426,0.780060140033869,0.169182150482973,0.050757709483158,0.0766605362296104,NA,NA,NA,NA,NA,0.0940404828963625,NA,NA,0.0940404828966571,NA,NA,NA,141706.765681356,216,0.174170100147937,3.70225981086682,286.788674518561,0.685125143664658
1646390,3,0,0,0.574506806416704,0.131393706958799,0.294099486624497,12.4,87.6,26.6,0,61,0,19.2,107.4,19.16,10.5161324,0.06790991127491,0,0,1,0,0,0,1,"CC",0.576584119445479,0.00164743472891974,0.0483939416971226,15.7272727272727,15.7272727272727,NA,0.258125492514414,0.521477545343334,0.107147177277779,0.371375277378887,0.0379073806107044,0.11190632762873,NA,0.208084116088371,0.165290388040107,NA,NA,NA,NA,NA,NA,NA,NA,1078210.00838208,217,0.137325532222323,2.91005862397618,257.185668280776,0.613023918153253
1646404,3,0,0,0.212587360731567,0,0.787412639268433,0,100,100,0,0,0,7,91,14.2,2.18955,0.0381566807627678,0,0,1,0,0,0,1,"CC",0.546774717493412,NA,0.0705180139861737,6,6,NA,0.0705180139861737,0.16879809148709,0.069170864413855,0.762031044099055,0.00217211944982409,NA,NA,NA,0.382707268520414,NA,NA,NA,NA,NA,NA,NA,NA,36936.2845460763,223,0.171982706166231,4.8336958701794,263.384134928385,0.671281481400514
1646405,3,0,0,0.519453760189787,0.0238968497371999,0.456649390073013,11.8777777777778,88.1222222222222,28.1111111111111,0,60.0111111111111,0,20,110.444444444444,20.5555555555556,10.0277802222222,0.0487764775753021,0,0,1,0,0,0,1,"CC",0.80466316342256,NA,0.0756195974699989,23.1333333333333,23.1333333333333,NA,0.165703852216692,0.426599061338453,0.124987961978638,0.448412976682909,0.037607204169035,0.130218791474979,NA,0.103762115578805,0.0159551235286362,NA,NA,NA,NA,NA,NA,NA,NA,3551788.30026482,217,0.0813375538882952,2.91781250030419,269.370195495296,0.588176932136722
1646406,3,0,0,0.583969674871323,0.10221710168846,0.313813223440218,51.69,48.31,34.5,0,13.81,0,15.7,106.6,19.21,7.083358,0.0667799040675163,0,0,1,0,0,0,1,"CC",0.346414404610314,0.201310704795746,0.0662429745964271,12.7692307692308,12.7692307692308,0.129372188675398,0.353166013505236,0.515134421271419,0.0360537671893176,0.448811811539263,0.0312030725181103,NA,NA,0.21498452278846,0.0658415149893496,NA,NA,NA,NA,NA,0.105205878219702,NA,NA,1781449.6308466,223,0.142776663853175,3.5526933507267,266.432504113788,0.634984187424514
1646407,3,0,0,0.405158211439567,0.000674740140948351,0.594167048419485,0,100,30,0,70,0,26,141.5,21.475,15.3841095,0.0508462637662888,0,0,1,0,0,0,1,"CC",0.570469296133456,NA,0.336781349766292,15.3636363636364,15.3636363636364,0.016172666112813,0.165086400931411,0.293358548182188,0.192860368746339,0.513781083071472,0.0336188673973083,NA,NA,NA,0.0927493541002518,NA,NA,NA,NA,NA,NA,NA,NA,229497.44912079,217,0.129854765409002,3.26069576926823,266.301553320697,0.635914208851461
1646429,3,0,0,0.679354351738764,0.0167178725340171,0.303927775727219,0,75,38.25,0,36.75,0,11.25,81.25,15.75,7.16161225,0.0497004259377718,0,0,1,0,0,0,1,"CC",0.212687430171324,NA,0.696109249111867,14.3,14.3,NA,0.171022372840446,0.552480581857391,0.389064732641004,0.0584546855016052,0.0730586014688015,NA,NA,NA,0.0912033207168096,NA,NA,0.46179747625077,NA,NA,NA,NA,NA,101328.114202779,217,0.103402048798703,3.22625981460799,257.817055685478,0.556503916257306
1646430,3,0,0,0.454279904213079,0.0591068681979821,0.486613227588939,0,100,29.3333333333333,0,70.6666666666667,0,15.3333333333333,102,17.4333333333333,5.28387333333333,0.056094940751791,0,0,1,0,0,0,1,"CC",0.578861391591069,NA,0.421138608408931,16.6,16.6,NA,0.13808393814598,0.328590731453476,0.1521384176561,0.519270850890424,0.0313618145883083,0.168836753706944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1168479.8943034,217,0.0930023689536452,2.53358977758483,269.904114891157,0.55372340575568
1646431,3,0,0,0.665457374856956,0.000174387554734939,0.334368237588309,0,80,61.8,0,18.2,0,8.6,70.6,12.82,3.692642,0.010597363114357,0,0,1,0,0,0,1,"CC",0.895748388639753,NA,NA,8.6,8.6,NA,NA,0.563121917381636,0.293673847680876,0.143204234937488,0.0488589107990265,0.115491920807704,NA,NA,0.104251611360247,NA,NA,NA,NA,NA,NA,NA,NA,80328.1949905008,217,0.0894958595483658,1.48342211201285,264.710046661034,0.530698516060797
1646432,3,0,0,0.500002440726734,0.0728807729701477,0.427116786303118,0,80,61.8,0,18.2,0,7.8,70.6,12.82,3.468094,0.0292435539886355,0,0,1,0,0,0,1,"CC",0.895293836028359,NA,0.0427542571389269,12.1428571428571,12.1428571428571,NA,NA,0.293972007704108,0.540850092312348,0.151381094892689,0.0928801149129868,0.0466620448214531,0.0337667020221433,NA,0.0619519068327141,NA,NA,NA,0.0137968050908557,NA,NA,NA,NA,315956.582987665,217,0.0858440124072579,4.26879125764985,266.483006390658,0.571900190446864
1664934,6,0,0,0.127503588940192,0.00576520670152194,0.866731204358286,3.57142857142857,96.4285714285714,16.4285714285714,0,96.4285714285714,0,17.5714285714286,122.142857142857,11.6285714285714,5.72783571428571,-0.00133830579579808,0,0,0,0,0,0,1,"CC",0.456956545828495,NA,0.528395677246147,20.2857142857143,20.2857142857143,NA,0.302881387168722,0.191650790193002,0.124666879315668,0.683682330491329,0.0169277805835009,0.0491100460426146,0.485176774328068,NA,0.00746810072951768,NA,0.00717967619584084,NA,NA,NA,NA,NA,NA,96988.3193802013,215,0.0657550926785916,2.59452192101628,252.962103881836,0.570246907770634
1666549,0,0,0,0.0829724075991055,0,0.917027592400894,56.6333333333333,43.3666666666667,6.66666666666667,0,36.7,0,34,102,21.4,17.3354963333333,-0.0424565337598324,0,0,0,0,0,1,1,"CC",NA,0.00034427815478849,NA,32.2,32.2,NA,0.6926335463139,0.000989463742118762,NA,0.999010536257881,-0.0276353564113379,NA,NA,0.692289268159112,NA,NA,NA,NA,NA,NA,0.3073664536861,NA,NA,48146.8970126226,223,0.073718152622777,3.00228168354793,253.956920276989,0.618972887776115
1666618,2,0,0,0.450661312893021,0.0768886605090514,0.472450026597927,41.8625,58.1375,42.5,0,15.6375,0,19.625,113.25,20.45,10.981035,0.0354958027601242,0,0,1,0,0,0,1,"CC",0.222101026120793,0.245730249450695,0.168876319908123,19.6666666666667,19.6666666666667,NA,0.490030011936052,0.467393778083712,0.0922336895128944,0.440372532403393,0.0151898227632046,0.00808178146192222,NA,0.363292404520389,NA,NA,NA,0.168876319908123,NA,NA,NA,NA,NA,429638.939274052,223,0.209805708199677,3.27746230948693,272.126315377699,0.675456483267045
1666619,2,0,0,0.324430750789406,0.0500624019160282,0.625506847294565,38.3333333333333,61.6666666666667,25.5,0,36.1666666666667,0,23.1666666666667,130.333333333333,22.6166666666667,14.2901365,0.00293497694656253,0,0,1,0,0,0,1,"CC",0.593750645515798,0.229843018500944,0.176406335983258,28.4285714285714,28.4285714285714,NA,0.3429920701659,0.405450960978234,0.0809035955720499,0.513645443449716,0.0368561521172523,0.182079251376902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1076426.55363194,223,0.139079191259602,3.70659551094866,282.893652475553,0.623087390019648
1666939,2,0,0,0.561200840934301,0.0693919553595356,0.369407203706163,7.8,92.2,44.6,0,47.6,0,25.4,116.2,21.84,13.9863818,0.0870389193296432,0,0,1,0,0,0,1,"CC",0.440085167657392,0.00214121595439549,0.445439644923765,18.125,18.125,0.0733688395388013,0.240771573226281,0.462300321608074,0.40988826869698,0.127811409694947,0.0886912643909454,NA,NA,0.0733688395388013,0.0389651319256466,NA,NA,0.206809287651879,NA,NA,NA,NA,NA,295453.274189548,223,0.0988492234178853,3.1492372766873,243.640046296296,0.608841364766345
1666942,2,0,0,0.124040042729553,0.0118708677699305,0.864089089500517,20,46.6666666666667,29.3333333333333,0,17.3333333333333,0,12,73.3333333333333,13.6666666666667,5.47530666666667,0.0768033489584923,0,0,1,0,0,0,1,"CC",0.351859899727577,0.55075609879361,NA,15,15,NA,0.559078476952242,0.388877308130338,0.302468629096526,0.308654062773136,0.0733864009380341,NA,NA,0.00832237815863181,0.0890616233201815,NA,NA,NA,NA,NA,NA,NA,NA,211269.566784335,199,0.110661730123094,4.19850788454285,253.602970429111,0.614907230505963
1666945,2,0,0,0.26061254003536,0.036454894085702,0.702932565878938,2,88,61.7,0,26.3,0,18.1,116.2,19.03,9.7401828,0.0670626685023308,0,0,1,0,0,0,1,"CC",0.581249408451168,0.00372337771863885,0.315514251827019,26.2777777777778,26.2777777777778,0.16096617334395,0.0541895156996482,0.389216778743896,0.41333178282414,0.197451438431964,0.0997859537601471,NA,NA,NA,0.0995129620031744,NA,NA,0.0564014512382278,NA,NA,NA,NA,NA,1130121.85285866,199,0.0748454057912194,2.52820576267479,241.46032025181,0.585490055845282
1666947,2,0,0,0.0211980740100805,0,0.97880192598992,22.5,77.5,71,0,6.5,0,18.75,105,20.85,9.43534,-0.0293944627046585,0,0,1,0,0,0,1,"CC",0.418346530836007,NA,0.157126968810845,14.5714285714286,14.5714285714286,0.157126968810845,NA,0.176229479488321,NA,0.823770520511679,-0.0209190417081118,NA,NA,NA,0.165602840372276,NA,NA,NA,NA,NA,0.258923659980872,NA,NA,90636.3563731133,223,0.0841742107404931,1.66788993244714,243.040905268505,0.535479355566572
1670293,2,0,0,0.0922650974326789,0,0.907734902567321,0,100,59,0,41,0,32,105.5,21.3,18.846505,-0.00744993984699249,0,0,1,0,0,1,3,"CC",0.898711130554362,NA,0.101288869445638,32,32,NA,0.101288869445638,0.408526304573737,NA,0.591473695426263,0.0401803478598595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56942.5080470517,223,0.153947693140556,4.01264903520544,300.794772338867,0.656598038474719
1678544,0,0,0,0.0754374948176675,0.00145890094013529,0.923103604242197,0,100,37.1666666666667,0,62.8333333333333,0,30.6666666666667,95.1666666666667,18.7333333333333,16.2550268333333,0.152229890227318,0,0,1,0,0,1,1,"CC",0.931492347707984,NA,0.0646880897274205,20.7,20.7,0.0380836642337444,0.0266044254936761,0.414987364391753,0.326273293120236,0.258739342488011,0.109029822051525,NA,NA,NA,0.0038195625645957,NA,NA,NA,NA,NA,NA,NA,NA,419555.117338097,192,0.107292227143297,3.11041532612011,239.421995752059,0.561328521364451
1678549,0,0,0,0.109815463747348,0.0110307819943981,0.879153754258254,0.769230769230769,99.2307692307692,68.6923076923077,0,64.7692307692308,0,17.6923076923077,83.8461538461538,14.2692307692308,7.44747853846154,0.0924364626407623,0,0,1,0,0,1,1,"CC",0.361572572433123,NA,0.425608008451033,17.8823529411765,17.8823529411765,0.02788490690567,0.00775744967295069,0.57254686586586,0.149620438553312,0.277832695580828,0.0902935191988945,0.227210308294354,NA,0.00775744967295069,NA,NA,0.205061969442893,0.295950722782391,NA,NA,NA,NA,NA,465878.995957955,199,0.0789790739880494,2.44894685654101,252.67722123622,0.563051682870201
