OPENING_ID,SITE_PREP_,SITEPr_1_Meth,SITE_PREP1,SITE_PRE_1,SITE_PRE_2,SITEPr_2_Meth,SITE_PRE_3,SITE_PRE_4,SITE_PRE_5,SITEPr_3_Type,SITEPr_3_Meth,SITEPr_3_Area,SITEPr_3_Date,SITEPr_4_Type,SITEPr_4_Meth,SITEPr_4_Area,SITEPr_4_Date,PLANTING_1,PLANTING_2,PLANTING_3,PLANT_1_SP1,PLANT_1_NUM2,PLANT_1_SP2,PLANT_1_NUM2,PLANT_1_SP3,PLANT_1_NUM3,PLANT_1_SP4,PLANT_1_NUM4,PLANT_1_SP5,PLANT_1_NUM5,PLANT_1_SP6,PLANT_1_NUM6,PLANTING_4,PLANTING_5,PLANTING_6,PLANT_2_SP1,PLANT_2_NUM1,PLANT_2_SP2,PLANT_2_NUM2,PLANT_2_SP3,PLANT_2_NUM3,PLANT_2_SP4,PLANT_2_NUM4,PLANTING_C,PLANT_3_Type,PLANT_3_Meth,PLANT_3_Area,PLANT_3_Date,PLANT_3_SP1,PLANT_3_NUM1,PLANT_3_SP2,PLANT_3_NUM2
1666947,ME,SHARK,8.3,2016-09-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1670293,ME,EXCAV,5.5,2017-07-31,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,PL,5.5,2018-05-27,PLI,6930,SX,2940,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1678544,ME,SHARK,30.6,2016-10-16,ME,MOUND,0.8,2016-10-22,2,NA,NA,NA,NA,NA,NA,NA,NA,RO,0.4,2017-05-29,PLI,1160,NA,NA,,,,,,,,,PL,5.2,2017-05-29,PLI,3120,SX,3120,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA
1678549,ME,MOUND,8.5,2016-11-10,ME,SHARK,30,2016-10-01,2,NA,NA,NA,NA,NA,NA,NA,NA,PL,10,2017-05-31,PLI,10470,SX,4080,,,,,,,,,RO,1,2017-05-31,PLI,1200,NA,NA,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA
1678558,ME,MOUND,2.8,2016-11-07,ME,SHARK,13.1,2016-10-01,2,NA,NA,NA,NA,NA,NA,NA,NA,RO,2.1,2017-05-26,PLI,3755,NA,NA,,,,,,,,,PL,2.8,2017-05-26,PLI,1095,SX,1095,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA
1678559,ME,MOUND,2.2,2016-11-03,ME,SHARK,203.3,2016-10-16,2,NA,NA,NA,NA,NA,NA,NA,NA,RO,14.7,2017-06-02,PLI,23965,NA,NA,,,,,,,,,PL,6.1,2017-06-02,PLI,2565,SX,2565,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA
1678706,ME,SHARK,68.3,2016-10-01,ME,MOUND,21.6,2016-11-25,2,NA,NA,NA,NA,NA,NA,NA,NA,PL,23.4,2017-06-01,PLI,2470,PLI,19200,SX,9600,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1683752,ME,EXCAV,35.9,2018-07-31,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,PL,48.5,2019-05-29,PLI,13815,SX,6545,SX,1890,PLI,40320,SX,23310,PLI,3960,PL,14.1,2018-07-23,SX,3400,SX,5800,PLI,7950,PLI,8640,2,NA,NA,NA,NA,NA,NA,NA,NA
1684064,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,55,2018-06-01,PLI,84840,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1684065,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,62,2018-05-31,PLI,89880,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1684135,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,21.8,2018-05-31,PLI,33600,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1684136,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,28,2018-05-31,PLI,43260,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1684137,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,133.1,2019-06-20,PLI,193440,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
