OPENING_ID,SITE_PREP_,SITEPr_1_Meth,SITE_PREP1,SITE_PRE_1,SITE_PRE_2,SITEPr_2_Meth,SITE_PRE_3,SITE_PRE_4,SITE_PRE_5,SITEPr_3_Type,SITEPr_3_Meth,SITEPr_3_Area,SITEPr_3_Date,SITEPr_4_Type,SITEPr_4_Meth,SITEPr_4_Area,SITEPr_4_Date,PLANTING_1,PLANTING_2,PLANTING_3,PLANT_1_SP1,PLANT_1_NUM2,PLANT_1_SP2,PLANT_1_NUM2,PLANT_1_SP3,PLANT_1_NUM3,PLANTING_4,PLANTING_5,PLANTING_6,PLANT_2_SP1,PLANT_2_NUM1,PLANT_2_SP2,PLANT_2_NUM2,PLANT_2_SP3,PLANT_2_NUM3,PLANTING_C,PLANT_3_Type,PLANT_3_Meth,PLANT_3_Area,PLANT_3_Date,PLANT_3_SP1,PLANT_3_NUM1,PLANT_3_SP2,PLANT_3_NUM2,PLANT_4_Type,PLANT_4_Meth,PLANT_4_Area,PLANT_4_Date,PLANT_4_SP1,PLANT_4_NUM1,PLANT_4_SP2,PLANT_4_NUM2
86867,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
88229,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,10,2001-08-15,PLI,15970,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
88232,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,11.1,2001-08-15,PLI,13110,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
90110,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
90111,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
92943,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
92944,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
92947,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,FP,7.6,2001-05-01,PLI,7210,PLI,900,,,PL,8.3,2001-08-01,PLI,8920,NA,NA,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
92951,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,1.4,2003-07-01,PLI,1770,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
94112,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,6.4,2003-05-01,FDI,4080,PLI,1635,,,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
