"OPENING_ID","PlantAge","Reburn","High","Low","Medium","Unburned","DecVRICov","ConVRICov","PineVRICov","FirVRICov","SpruVRICov","DFirVRICov","CanopCloVRI","AgeVRI","HeightVRI","BA_VRI","Mn_dNBR","Spaced","Brushed","SitePrepped","Fertil","Prune","Planted","NumDenuda","HarvType","SurIM-50_50","SurIM-Con","SurM-50_50","SurM-75Con","SurM-Con","SurNA-NF","SurCrClos","SurBA","SurM-75Pine","SurM-Pine","SurM-PineMix","Sur-High","Sur-Low","Sur-Medium","sur_dNBR","SurIM-75Con","Sur-Unburned","SurY-Con","Sur-AgeCl-3","Sur-AgeCl-1","Sur-AgeCl-2","TotArea","Md_DOB","DEM_Slop","DEM_Asp","DEM_tpi","DEM_hli"
71182,17,0,0,0.251416272657726,0.253293259739968,0.495290467602306,0,88.8888888888889,82.2222222222222,0,17.7777777777778,0,30.4444444444444,138.555555555556,13.4888888888889,15.7190464444444,0.0900745205581188,0,0,0,0,0,0,1,"CC",NA,NA,NA,NA,0.965165923408169,0.0347127339738866,31.0909090909091,31.0909090909091,0.0461857102075331,0.918980213200636,NA,0.00512915315837357,0.450793170165862,0.427209986549754,0.137391373515129,NA,0.11686769012601,0.000121342617944699,NA,NA,NA,383353.038598945,225,0.131821037790445,3.07949998145683,371.718024455326,0.605640156518126
71183,14,0,0,0.189155544723956,0.337774636231715,0.47306981904433,0,90,83,2,33,0,29.9,111.7,11.68,15.1314935,0.131947964429855,0,0,0,0,0,1,1,"CC",NA,NA,NA,NA,0.881583492594731,0.118181147681017,32.3636363636364,32.3636363636364,NA,0.881583492594731,NA,NA,0.461900923665174,0.396319140382752,0.199940845370293,NA,0.141779935952074,0.000235359724252531,NA,NA,NA,447409.834260321,225,0.108594632430605,2.40412641188904,375.588633240119,0.5523427730301
75147,19,0,0.00937340392379078,0.23716211904127,0.640039013727173,0.113425463307765,0.452380952380952,94.7857142857143,81.9761904761905,0,23.3095238095238,3.07142857142857,24.1904761904762,107.595238095238,13.5880952380952,11.7657840952381,0.209019273519516,0,0,0,0,0,0,1,"CC",NA,0.125888442819547,NA,NA,0.568822466376858,0.105398062437204,24.0425531914894,24.0425531914894,0.0396378987742596,0.503616503776475,0.0255680638261228,0.0937538988881364,0.195295069111422,0.642888910819474,0.245929062366486,NA,0.0680621211809673,0.199891028366391,NA,NA,0.215537759643229,2849926.18992084,231,0.0926231951252559,2.60742199050317,325.573524105349,0.587230742789538
75353,19,0,0.00856132373946581,0.341736152640397,0.579860884532021,0.0698416390881156,0,100,100,0,22.2222222222222,0,25.1111111111111,94.6666666666667,11.4555555555556,10.4183434444444,0.195522412657738,0,0,0,0,0,0,1,"CC",NA,0.263205821979312,NA,NA,0.424435982368839,0.0155408926530848,26,26,NA,0.42133243554905,0.00310354681978945,0.138500380943951,0.290187422327177,0.250043492731296,0.079406525939703,NA,0.321268703997576,0.296817302998764,NA,0.0402302453237094,NA,121346.689817556,230,0.0905152352358726,2.90442779676155,332.524693080357,0.54998394488392
75355,19,0,0.0158448130429446,0.179416114653273,0.394198974551013,0.410540097752769,0,100,100,0,20,0,23,104.2,12.38,11.314062,0.126364164054394,0,0,0,0,0,0,1,"CC",NA,0.0406976560475475,NA,NA,0.928436490990079,NA,24.3333333333333,24.3333333333333,NA,0.928436490990079,NA,0.214813851672863,0.112859797804329,0.0660958367136136,0.00554967345669866,NA,0.606230513809194,0.0308658529623737,NA,NA,NA,131952.590782283,230,0.0646092139779487,3.49115363756816,338.469093701518,0.602583454921842
75468,13,0,0,0.332608953882061,0.659214816558879,0.00817622955905984,0.238095238095238,99.7619047619048,95.7619047619048,0.19047619047619,13.3333333333333,0,25.7619047619048,126.809523809524,15.5190476190476,15.415861952381,0.239564403891563,0,0,0,0,0,1,1,"CC",NA,0.128989294226135,NA,NA,0.811492393292055,0.00234353831464824,23.3461538461538,23.3461538461538,NA,0.751793197925672,0.0596991953663834,NA,0.252728843132089,0.6730246758407,0.216719046235085,NA,0.0742464810272113,0.0571747741671614,0.0438482760517459,0.0951429701317172,0.0283819972479535,711915.455132948,229,0.107691839269904,2.84163160922513,332.591020394112,0.577879942071528
75470,19,0,0,0.233652317408777,0.561400790559686,0.204946892031537,0,100,100,0,25,0,25,93.5,12.35,11.1074675,0.169701471924782,0,0,0,0,0,0,1,"CC",NA,0.252027433043452,NA,NA,0.716484358274008,NA,25.3333333333333,25.3333333333333,NA,0.716484358274008,NA,NA,0.330660380638405,0.598512095427731,0.195521809160709,NA,0.0708275239338636,0.0314882086825402,NA,NA,NA,129477.603128586,230,0.093702437879186,3.43317085637213,330.462482191112,0.578388830978576
88702,16,0,0,0.14842970157509,0.851151005271852,0.000419293153057838,0.555555555555556,99.4444444444444,90.1111111111111,0.444444444444444,20,0,26.7777777777778,143.777777777778,16.2,18.1546347777778,0.283242419362068,0,0,0,0,0,0,1,"CC",NA,0.0772053834244976,NA,NA,0.914856771614522,0.00716092572471726,21.5,21.5,NA,0.782963902676173,0.131892868938349,NA,0.201369940760937,0.739321429702798,0.221456773579121,NA,0.0593086295362652,0.000776919236262794,0.0619701776293983,0.230594357803622,0.0408979363994174,393883.098339112,229,0.126387797223681,2.99036637872567,332.150275290549,0.569942781517098
88703,15,0,0,0.331640411466064,0.164387542709997,0.503972045823938,0,85.7142857142857,85.7142857142857,0,14.2857142857143,0,26.7142857142857,105.857142857143,13.0571428571429,16.3317115714286,0.0241335164755583,0,0,0,0,0,1,1,"CC",NA,NA,NA,NA,0.85649163789632,0.0970404625818125,20.6666666666667,20.6666666666667,NA,0.809600847951915,0.0468907899444052,NA,0.346173643326765,0.101606420204492,0.0325235780328512,NA,0.552219936468743,0.0464678995218673,NA,0.210919491268103,NA,223852.985964567,230,0.141034087128177,2.39640242201941,323.804022341358,0.609069193869221
88710,17,0,0,0.3578478843268,0.604715373589021,0.0374367420841785,0,55.5555555555556,52.2222222222222,1.11111111111111,32.2222222222222,0,10.7777777777778,46,5.04444444444444,4.07109566666667,0.225207068026066,0,0,0,0,0,0,1,"CC",NA,NA,NA,NA,0.420218232302601,0.382208556740237,15,15,0.0356820655433039,0.383646988180332,0.00088917857896454,NA,0.267472764616569,0.497414787064751,0.18152990937233,NA,0.23511244831868,0.197573210957162,NA,0.100362964703238,0.231713656674093,242554.29361102,229,0.100229733606189,3.11472992804735,318.753453041191,0.631246189128107
