"OPENING_ID","PlantAge","Reburn","High","Low","Medium","Unburned","DecVRICov","ConVRICov","PineVRICov","FirVRICov","SpruVRICov","DFirVRICov","CanopCloVRI","AgeVRI","HeightVRI","BA_VRI","Mn_dNBR","Spaced","Brushed","SitePrepped","Fertil","Prune","Planted","NumDenuda","HarvType","SurIM-Con","SurM-Con","SurNA-NF","SurCrClos","SurBA","SurM-75Pine","SurM-PineMix","Sur-High","Sur-Low","Sur-Medium","Sur-Unburned","sur_dNBR","SurY-Con","SurIM-75Con","Sur-AgeCl-1","Sur-AgeCl-2","SurM-Pine","Sur-AgeCl-3","SurY-75Con","Sur-AgeCl-4","SurIM-50_50","SurM-50_50","SurM-75Con","SurY-50_50","SurY-Dec","TotArea","1960","2002","2017","Md_DOB","DEM_Slop","DEM_Asp","DEM_tpi","DEM_hli"
7191,21,0,0.262943285396817,0.168131805501198,0.0406836643958567,0.528241244706128,0.4,79.6,60.8,6.2,12.6,0,25.6,39.8,10.87,10.3773767,-0.0300683174282312,0,1,1,0,0,1,1,"CC",0.907128420862196,NA,0.0928715791378036,25.75,25.75,NA,NA,0.399228482131518,0.450310741552216,0.109826718267172,0.0406340580490946,0.147929631173611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362807.129792571,NA,NA,NA,235,0.10431297884627,3.23697804419859,314.750624703889,0.613749673977347
7283,21,0,0.000221194007893603,0.241567684936512,0.142703298905781,0.615507822149814,0,66.6666666666667,60.5555555555556,0,6.11111111111111,0,41.1111111111111,108.555555555556,15.5222222222222,26.5598941111111,-0.0887612886726856,0,0,0,0,0,1,1,"CC",0.479233325942938,0.38385684659516,0.136909827461901,35.0588235294118,35.0588235294118,0.0897906477150908,0.0316012388765276,0.0266471125679317,0.0824286366392875,0.871065157723269,0.0198590930695113,0.203720547258854,NA,NA,0.435976878592327,NA,0.214227859424722,NA,NA,NA,NA,NA,NA,NA,NA,607372.268396617,NA,NA,NA,234,0.100253246992084,3.60313934892128,291.543025697981,0.624218700631034
7284,21,0,0,0.254548318024868,0.036246779824604,0.709204902150528,0,50,41.3333333333333,1.33333333333333,7.33333333333333,0,19.1666666666667,25.8333333333333,6.56666666666667,4.89076833333333,-0.0580324530601501,0,1,1,0,0,1,1,"CC",0.791111986099061,NA,0.208888013900939,26.2727272727273,26.2727272727273,NA,NA,0.0264571839791029,0.495164565827944,0.39203818703786,0.0863400631550936,0.0803118199110031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220966.63711607,NA,NA,NA,235,0.107996806875465,2.22599294965479,310.913338797433,0.531674657914103
10606,26,0,0,0.0290287828731667,0.0102940542020042,0.960677162924829,0.625,99.375,58.125,0,99.375,0,47,86.875,13.575,18.9236815,-0.0898516178131104,0,1,1,0,0,1,1,"CC",0.239972674331905,0.527724223632685,NA,38.5,38.5,0.146135744201834,0.376642711154964,NA,0.370824194505762,0.226717272889776,0.402458532604462,0.0527850463986397,0.23230310203541,NA,NA,NA,NA,0.180798217638042,NA,NA,NA,NA,NA,NA,NA,650330.079491873,NA,NA,NA,224,0.097422276577543,2.58957627270242,266.668772646148,0.579707189263969
10607,21,0,3.89809295468304e-06,0.0352529119275499,0.00490836330856489,0.959834826670931,0.733333333333333,85.9333333333333,43.4,0.533333333333333,85.4,0,24.4666666666667,90.8666666666667,11.0933333333333,11.6681165333333,-0.0713537856936455,0,1,1,0,0,1,1,"CC",0.0523736844519212,0.680037484988053,0.221236010852446,19.92,19.92,0.00133199636841628,0.103106933767082,0.0379098580025172,0.243186141658973,0.152292353449013,0.566611646889498,0.145814388990402,0.0463528197075796,NA,NA,0.0606047646699314,0.309031913023869,NA,NA,NA,NA,NA,NA,NA,NA,804753.586878514,NA,NA,NA,220,0.0727900545984009,3.40876695862057,265.422733328292,0.596218782007761
10610,24,0,0,0.117935702993446,0.0355097699979223,0.846554527008632,0.833333333333333,82.5,37.5,1.66666666666667,80.8333333333333,0,32.6666666666667,83.8333333333333,11.5666666666667,17.47025,-0.0397821515798569,0,0,1,0,0,1,1,"CC",0.0148991136940484,0.458649925156834,0.20370562777112,26.2142857142857,26.2142857142857,0.0273412982739175,0.431308626882917,NA,0.280087862956039,0.349470325227035,0.370441811816926,0.26498419046402,0.322745333377998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295929.079152549,NA,NA,NA,221,0.0541814698676344,3.04225737330614,265.214459914929,0.570369001217526
10611,23,0,0.0122821762388889,0.0959373199377643,0.0435403664802765,0.84824013734307,9.09090909090909,90.9090909090909,15.4545454545455,13.1818181818182,77.7272727272727,0,37.9090909090909,149.727272727273,16.1454545454545,21.2482272727273,-0.0670137703418732,0,1,1,0,0,1,1,"CC",0.00982053648831502,0.732926283637297,NA,40.9473684210526,40.9473684210526,0.0430518852605849,0.375301808465096,0.13708744574758,0.258501006950699,0.416337588433478,0.188073958868242,0.252677023410797,0.00147986392912344,NA,NA,0.24595912345465,NA,NA,0.255773315945265,NA,NA,NA,NA,NA,NA,1022957.53277929,NA,NA,NA,219,0.166121264519857,2.85072832115188,284.590284726322,0.61472738009136
10615,22,0,0.0367820986863777,0.232015915711681,0.103640662787651,0.62756132281429,0,100,57.75,22,74.25,0,44.65,66.25,11.745,13.6844308,-0.0642808377742767,0,0,1,0,0,1,1,"CC",0.660842104797263,0.281007178234022,0.0408025296456163,41.4615384615385,41.4615384615385,0.0684938142171256,0.212513364016896,0.40791135086425,0.203056759742177,0.360466219232011,0.0285656701615619,0.437867432832718,0.0173481873230984,NA,0.0349794446495047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,809525.188136983,NA,NA,NA,234,0.110037214764862,3.259130959362,319.350656886654,0.629592140340015
10616,21,0,0,0.0343679338526116,0.000393411434054955,0.965238654713333,1.92307692307692,98.0769230769231,66.5384615384615,0.769230769230769,97.3076923076923,0,38.9230769230769,72.5384615384615,12.9846153846154,12.4009616923077,-0.0609288364648819,0,1,1,0,0,1,1,"CC",0.180141341289417,0.518226688609692,NA,40.3157894736842,40.3157894736842,NA,NA,NA,0.19812484008041,0.0923535291301725,0.709521630789418,-0.0313461301848292,0.301631970100892,NA,NA,NA,0.277923716571022,0.286383088803257,NA,NA,NA,NA,NA,NA,NA,615712.260866728,NA,NA,NA,234,0.0887465415079807,2.69921391302189,274.420855943547,0.564070992951476
10619,23,0,0,0.0321719998273493,0.00440265324888325,0.963425346923767,0.714285714285714,99.2857142857143,35.3571428571429,0,99.2857142857143,0,35,102.428571428571,13.2785714285714,14.8305498571429,-0.0545880235731602,0,0,1,0,0,1,1,"CC",0.0183150745192712,0.761831365962914,NA,32.3,32.3,NA,0.383818795392483,1.62372631918718e-07,0.179750460308351,0.265187571138472,0.555061806180545,0.117101028561592,0.219853559517815,NA,0.00998744867843173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,871781.813925446,NA,NA,NA,223,0.0917372691222805,3.27039141502315,273.343359387611,0.586689706737837
10626,25,0,0,0.0132456816637331,0.0157770503826444,0.970977267953622,3.07692307692308,89.2307692307692,73.4615384615385,0,89.2307692307692,0,34.4615384615385,65.1538461538462,11.5461538461538,10.824777,-0.103031620383263,1,0,1,0,0,1,1,"CC",0.19324753737998,0.272073704446819,0.216894731853722,25.6521739130435,25.6521739130435,0.0133290251238399,0.118247264768699,0.00704525841393386,0.281863736197018,0.130516781266454,0.580574224122595,0.0109343477524817,0.317784026319479,NA,NA,0.279553108329228,0.0711404059047119,0.00683427758135403,NA,NA,NA,NA,NA,NA,NA,952951.031663916,NA,NA,NA,221,0.0877223259235109,3.25460472337699,268.996429965523,0.607040254873695
10627,24,0,0,0.0526932623242351,0.0451785357327363,0.902128201943029,0,100,41.1538461538462,2.30769230769231,97.6923076923077,0,41.1538461538462,105.230769230769,15.8384615384615,21.757313,0.0659258924424648,0,0,1,0,0,1,1,"CC",0.565475724138301,0.420453203947198,NA,39.5789473684211,39.5789473684211,0.0927676878659669,0.203590711791379,NA,0.165014516407832,0.497191216909118,0.33779426668305,0.196250215172768,0.0140710719145015,NA,NA,0.0976049276934034,NA,0.0291188640494149,NA,NA,NA,NA,NA,NA,NA,258294.853461426,NA,NA,NA,222,0.0604838901127143,3.25688098760258,268.650697714776,0.582239505956913
