"OPENING_ID","PlantAge","Reburn","High","Low","Medium","Unburned","DecVRICov","ConVRICov","PineVRICov","FirVRICov","SpruVRICov","DFirVRICov","CanopCloVRI","AgeVRI","HeightVRI","BA_VRI","HarVRI","Mn_dNBR","Spaced","Brushed","SitePrepped","Fertil","Prune","Planted","NumDenuda","HarvType","SurIM-Con","SurM-Con","SurCrClos","SurBA","Sur-High","Sur-Medium","sur_dNBR","Sur-AgeCl-2","SurM-50_50","Sur-Low","Sur-Unburned","Sur-AgeCl-4","SurIM-50_50","SurM-75Con","SurM-PineMix","Sur-AgeCl-1","SurM-75Pine","SurM-Pine","Sur-AgeCl-3","SurNA-NF","SurIM-75Con","SurY-Con","Sur-AgeCl-5","SurIM-Dec","SurY-50_50","SurY-75Con","SurM-Dec","SurY-Dec","TotArea","1919","1920","1921","1922","1923","1925","1926","1931","1934","1936","1938","1939","1943","1944","1946","1947","1951","1953","1957","1958","1959","1974","2009","2010","2012","2013","Md_DOB","DEM_Slop","DEM_Asp","DEM_tpi","DEM_hli"
-673920000,36,0,0.0389152089525591,NA,0.961084791047441,NA,7.5,92.5,18.775,0,40.025,52.475,41.25,132.5,22.1,23.759125,0,0.299328714609146,0,0,1,0,0,0,1,"CC",0.0666769840110498,0.93332301598895,35.5,35.5,0.263806420186842,0.727826203731067,0.246730409562588,NA,NA,0.00836737608209097,NA,NA,NA,NA,0.525828868306506,NA,NA,NA,0.0111422993587217,NA,NA,NA,NA,NA,NA,NA,NA,NA,60911.237566011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,0.226316317799501,4.35897174512502,268.780477523804,0.555472981184721
-673750000,33,0,NA,0.0173607349014372,0.00130161004323349,0.981337655055329,3.75,96.25,67.5,0,85.9375,10.3125,32.875,55.9375,12.45625,6.611453125,0,0.0216517318040133,1,0,1,0,0,0,1,"CC",0.493567112419173,0.506432887580784,25.8571428571429,25.8571428571429,NA,0.0633210195421195,0.10525593906641,NA,NA,0.343662344774663,0.593016635683217,NA,NA,NA,0.214177787012916,NA,NA,0.0569741768132304,0.272530711406283,NA,4.23503594351152e-14,NA,NA,NA,NA,NA,NA,NA,499863.330452693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,0.104088054866802,3.82208655024465,375.401064116379,0.638689905783658
-673740000,24,0,NA,0.0217836718231056,0.000535298162417077,0.977681030014477,0,100,75.01,0,84.51,15.49,27.6,77.8,14.51,7.8324031,0,0.0185350179672241,0,0,1,0,0,1,1,"CC",0.298960150425983,0.7006281388073,31.625,31.625,NA,0.142812855971413,0.0829799436032772,NA,NA,0.416815876033808,0.440371267994779,0.29737406497241,NA,NA,0.490053024260057,NA,NA,0.153435207982546,NA,NA,0.000411710766716718,NA,NA,NA,NA,NA,NA,NA,448942.968749288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,0.169430498217773,3.89988722778376,368.376053348664,0.675001646121663
-667830000,25,0,0.0735524904542775,0.489312914264354,0.385737323230738,0.0513972720506308,1.08695652173913,94.5652173913043,0.434782608695652,0,0,94.1304347826087,22.6086956521739,110.217391304348,15.8826086956522,11.6237150434783,0,0.127899050712585,0,0,0,0,0,0,1,"CC",0.478062758807898,0.361123918899847,23.2,23.2,0.0817412833502676,0.310037758492787,0.116813972592354,0.0759746809667324,NA,0.571322935009022,0.0368980231479243,0.27205482588809,NA,NA,1.19009109435747e-06,NA,NA,NA,NA,0.160813322292256,NA,NA,NA,NA,NA,NA,NA,NA,1302574.90072511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222.47829701227,0.177967842559382,2.63588161274471,250.755734174679,0.623837054973663
-667740000,25,0,0.30923516338013,0.148189871893657,0.542574964726213,NA,1.07142857142857,98.9285714285714,0.357142857142857,0,0.357142857142857,98.5714285714286,26.0714285714286,89.9285714285714,14.3428571428571,15.7298930714286,0,0.241473004221916,0,0,0,0,0,0,1,"CC",0.593607335483053,0.406392664516947,26.3888888888889,26.3888888888889,0.197616907247774,0.509501859072689,0.178888291120529,0.221590174144915,NA,0.292881233679537,NA,0.22498148246056,NA,NA,0.0530138375904488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359350.258146706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,0.115482353057768,2.09703368703886,248.983252597215,0.554415233545567
-667520000,37,0,NA,0.725113125894039,0.274653755493219,0.00023311861274263,0,100,12.5,0,12.5,87.5,32.5,92.5,13.25,8.13189,1,0.101752817630768,0,0,0,0,0,0,1,"PC",0.107702084116179,0.700989746204233,26.7777777777778,26.7777777777778,NA,0.362884366284733,0.144090205430984,0.198618412649819,NA,0.581724719872007,0.0553909138432598,NA,NA,NA,0.470237099458139,NA,NA,0.22356465164926,NA,NA,NA,0.191308169679589,NA,NA,NA,NA,NA,NA,171288.927263662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,0.180920712369424,4.79006837516703,352.648954658098,0.685831292983024
-667510000,37,0,0.00181895456844514,0.484359463783223,0.130004378974306,0.383817202674026,0,100,0,0,0,100,21.6666666666667,118.333333333333,15.4,12.4833533333333,1,0.0736620351672173,1,0,0,0,0,0,1,"PC",0.152290517341699,0.838650384214098,23.8888888888889,23.8888888888889,0.0442976179517816,0.237023602785471,0.0758196786046028,0.0247701769737237,NA,0.621339095930703,0.0973396833320443,NA,NA,NA,0.209668482676183,NA,NA,NA,NA,NA,NA,0.00905909844420378,NA,NA,NA,NA,NA,NA,709473.944838148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134074436428538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,0.151131125806925,4.43702414787897,311.846576559133,0.676969172549583
-667500000,37,0,0.0236732347304369,0.480795540766637,0.465832767050945,0.0296984574519811,0.882352941176471,99.1176470588235,1.47058823529412,0,0.588235294117647,97.0588235294118,26.1764705882353,147.882352941176,18.4,15.0079343529412,0,0.122643530368805,0,0,1,0,0,0,1,"PC",0.321845829999954,0.678154170000046,26.1764705882353,26.1764705882353,0.0871852371302209,0.566870656665396,0.137308172881603,NA,NA,0.324812958886197,0.0211311473181859,NA,NA,NA,0.157648293092851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,968971.276336479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1857531577018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,0.120639718059569,4.67871339100649,279.703957041178,0.619968660685359
-667490000,37,0,NA,0.642038585582348,0.252909041119445,0.105052373298206,0,100,40,0,40,60,35,40,7,5,1,0.0867269411683083,0,0,0,0,0,0,1,"PC",0.597054546481869,0.402945453518131,31.0714285714286,31.0714285714286,NA,0.620493459828225,0.137127757072449,NA,NA,0.379506540171775,NA,NA,NA,NA,0.172547096731088,NA,NA,0.105517291216011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80900.3145114686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190.636935879652,0.218702847322265,4.50407032652216,348.946718320742,0.710424321693378
-667400000,36,0,0.0980390693935133,0.411135498156124,0.410939516917178,0.0798859155331849,5.625,94.375,6.25,0,7.5,86.875,29.375,112.5,15.7,12.320604625,1,0.160718396306038,0,0,0,0,0,0,1,"PC",0.320935857607147,0.565802588992598,31.219512195122,31.219512195122,0.176527853208549,0.484469603378168,0.256701797246933,0.072161817489597,NA,0.237473384053591,0.101529159359692,NA,NA,NA,0.137720354409611,0.108287974810587,0.0591162875174547,0.106127673260027,NA,0.00912153846272793,NA,0.104140014937527,NA,NA,NA,NA,NA,NA,1006016.45357055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,0.184093361540348,4.301159362603,321.381670699978,0.689542913874453
