"OPENING_ID","PlantAge","Reburn","High","Low","Medium","Unburned","DecVRICov","ConVRICov","PineVRICov","FirVRICov","SpruVRICov","DFirVRICov","CanopCloVRI","AgeVRI","HeightVRI","BA_VRI","Mn_dNBR","Spaced","Brushed","SitePrepped","Fertil","Prune","Planted","NumDenuda","HarvType","SurIM-75Con","SurIM-Con","SurM-50_50","SurM-Con","SurY-Con","SurCrClos","SurBA","SurM-75Pine","SurM-PineMix","Sur-Low","Sur-Medium","Sur-Unburned","sur_dNBR","Sur-AgeCl-1","SurNA-NF","SurM-Pine","SurM-75Con","Sur-High","Sur-AgeCl-2","SurIM-50_50","TotArea","Md_DOB","DEM_Slop","DEM_Asp","DEM_tpi","DEM_hli"
1564115,3,0,0,0.534944549852772,0.0139381137407058,0.451117336406522,13.3333333333333,86.6666666666667,10,0,76.6666666666667,0,34,127.666666666667,22.9333333333333,21.2533933333333,0.546741604804993,0,0,0,0,0,1,2,"CC",NA,NA,NA,0.914334332244952,NA,30.4,30.4,NA,0.914334332244952,0.343477057245059,0.404099335084225,0.252423607670716,0.5206358730793,0.0441004422958626,0.085665667755048,NA,NA,NA,NA,NA,89700.3387249815,226,0.0814127482340804,2.05651301806983,240.123496542172,0.540082187676916
1565295,3,0,0,0.503817897314937,0.0134478165278263,0.482734286157237,0.714285714285714,85,58.1428571428571,0,26.8571428571429,0,16.2857142857143,101.285714285714,17.4285714285714,8.55226585714286,0.414427891373634,0,0,0,0,0,1,2,"CC",NA,0.244370045000261,NA,0.646344690217262,0.0074796777554555,20.6,20.6,0.00677399903800699,0.220772109061285,0.281246841344036,0.379948269572973,0.338804889082992,0.378890097141266,0.0568792018698827,0.101805587027022,0.41879858211797,NA,NA,NA,NA,220154.212711967,225,0.104833923862316,3.40731731666939,240.215862151115,0.566816964336941
1566856,3,0,0,0.343073169977803,0.0184267387662326,0.638500091255965,1.33333333333333,78.6666666666667,56.9333333333333,0,31.7333333333333,0,14.6,89.9333333333333,15,9.16589993333333,0.393705055117607,0,0,0,0,0,1,2,"CC",NA,0.0674452608357691,NA,0.587182753131043,0.205796168735524,13.2692307692308,13.2692307692308,0.159475547577162,0.0946180650388401,0.482539685981938,0.083443567076965,0.434016746941097,0.313836067914963,0.207748620079336,0.139575817297664,0.287938646644685,NA,NA,NA,NA,727825.433648157,225,0.0859986696782816,2.96112434428571,235.034388012874,0.577096995266842
1566955,3,0,0,0.0636197434396336,0,0.936380256560366,0,100,78,0,22,0,16,138.75,20.5,8.74329,0.305715560913086,0,0,0,0,0,1,2,"CC",NA,NA,NA,0.94101412695271,NA,19.2222222222222,19.2222222222222,0.360251907254297,0.127062091713428,0.166931328868361,NA,0.833068671131639,0.327683091163635,0.782162644241174,NA,0.512686001032275,0.0589858730472897,NA,NA,NA,157211.296287683,225,0.0971831269023908,3.27096785160557,252.821375146767,0.554777380014431
1566975,3,0,0,0.426573135218504,0.0191365287760807,0.554290336005415,11.3333333333333,88.6666666666667,45,0,55.3333333333333,0,21.1666666666667,126.166666666667,18.8166666666667,12.5526835,0.380486756563187,0,0,0,0,0,1,2,"CC",NA,NA,NA,0.498870827585901,0.180301808791795,17.1818181818182,17.1818181818182,0.0461268715139092,0.625321274249931,0.430327597948086,0.225648383158438,0.344024018893476,0.304090037941933,0.244204087656739,0.0577765517592029,0.0904734936851629,0.263050811863101,NA,NA,NA,158475.424150035,225,0.106255396328479,2.85760144660023,243.772041100298,0.545980170283014
1566995,3,0,0,0.250175889520728,0.221684253740074,0.528139856739198,6.5,93.5,10,0,83.5,0,36,140,23.15,22.1569595,0.406738683581352,0,0,0,0,0,1,3,"CC",NA,NA,NA,0.955450188700879,NA,36.75,36.75,NA,1,0.160200784028772,0.644976186029013,0.194823029942215,0.389975219964981,NA,NA,NA,0.0445498112991214,NA,NA,NA,28345.5362874088,226,0.0611259717329898,3.81009161034051,241.131360222312,0.584680173326941
1582436,3,0,0,0.551103258542725,0.0832025678882919,0.365694173568983,15,51.6666666666667,6.66666666666667,0,45,0,25,95.3333333333333,17.0333333333333,15.4346333333333,0.415474593639374,0,0,0,0,0,1,2,"CC",NA,NA,NA,0.227308734756066,NA,25,25,NA,0.898606511834177,0.364941258029272,0.206669158713451,0.428389583257277,0.288227811455727,0.00122753838729763,0.101393488165823,NA,0.671297777078111,NA,NA,NA,24108.5171999577,226,0.056090809887758,2.62358997817393,245.735125506366,0.5590947954743
1582445,3,0,0,0.257565312502534,0.0545102885865983,0.687924398910867,8.77777777777778,80.1111111111111,45.8888888888889,0,34.2222222222222,0,23.1111111111111,118.111111111111,19.2666666666667,13.734781,0.403294041752815,0,0,0,0,0,1,2,"CC",NA,NA,NA,0.909369690782826,NA,19.75,19.75,0.100859227870558,0.571104731913642,0.347206924049604,0.248849479084822,0.403943596865574,0.29481440782547,0.1931090435321,0.0385355939447661,0.289500446271034,0.0520947152724082,NA,NA,NA,963870.699999759,226,0.0904998700160471,2.39576364561458,254.178256526784,0.561028107279284
1585449,3,0,0,0.452408683339451,0.108558136421627,0.439033180238921,0.714285714285714,63.5714285714286,33.3571428571429,0,35.2142857142857,0,15.5,82,12.6214285714286,8.35252,0.447644352912903,0,0,0,0,0,1,2,"CC",NA,0.0171110534789935,NA,0.526741216255214,0.0770060850387151,17.8518518518519,17.8518518518519,0.0557626266574638,0.310715987541238,0.368090301779299,0.188201152512386,0.443708545708315,0.427845627069473,0.0835291035330279,0.379141645227077,0.160262602056512,NA,NA,NA,NA,1208201.95999996,226,0.074277224498148,2.91286382082956,231.862992200112,0.571290972861857
1585455,3,0,0,0.448109131711858,0.0160413864514076,0.535849481836734,3.32352941176471,79.0294117647059,67.4411764705882,0,11.5882352941176,0,13.7352941176471,99.3529411764706,16.2117647058824,6.84220888235294,0.387857213616371,0,0,0,0,0,1,2,"CC",NA,0.221942256709477,NA,0.414593741693267,NA,14.3255813953488,14.3255813953488,0.0882901453982925,0.0243305307708009,0.400376107935945,0.182537397833946,0.417086494230108,0.332983106374741,0.0669323163305375,0.360224421656009,0.260432329162281,0.00323957994124594,NA,NA,NA,3655140.13625547,226,0.0962705822023309,3.06105098455815,233.862864126444,0.576973734558068
