dNBR_median,dNBR_cor,CBI_TOT,,,,,
0.100884594,100.884594,2.319444444,,,,,
0.447699696,447.6996958,0,,,,,
-0.120974131,-120.9741309,0,,,,,
0.288216263,288.2162631,2.458333333,,,,,
-0.090372317,-90.37231654,0,,,,,
0.597535014,597.5350142,2.569444444,,,,,
0.479112893,479.1128933,2.402777778,,,,,
-0.064004168,-64.00416791,0,,,,,
-0.041625571,-41.62557051,0,,,,,
0.1299164,129.9163997,1.986111111,,,,,
-0.116604038,-116.6040376,0,,,,,
-0.005957683,-5.957682617,1.341666667,,,,,
0.052369192,52.36919224,0,,,,,
0.033031233,33.03123266,1.458333333,,,,,
0.109698005,109.698005,0,,,,,
0.433865339,433.8653386,2.416666667,,,,,
-0.054137237,-54.13723737,2.027777778,,,,,
-0.193236515,-193.2365149,0,,,,,
-0.137376368,-137.376368,0,,,,,
-0.034007404,-34.007404,1.805555556,,,,,
-0.061460841,-61.46084145,0,,,,,
-0.061460841,-61.46084145,0,,,,,
0.364609241,364.6092415,2.347222222,,,,,
0.364609241,364.6092415,2.347222222,,,,,
-0.089305878,-89.30587769,0,,,,,
0.540546119,540.5461192,2.305555556,,,,,
