"OPENING_ID","BroadBurn","DebrisBurn","DebrisMade","DebrisPiled","Soil","WildBurn","FireID"
-588020000,0,0,0,1,0,0,"R11796"
-588010000,0,0,0,0,0,0,"R11796"
-587990000,0,0,0,0,0,0,"R11796"
-587950000,0,0,0,0,0,0,"R11796"
-587930000,0,0,0,0,0,0,"R11796"
-587920000,0,0,0,0,0,0,"R11796"
-587770000,0,0,0,0,0,0,"R11796"
-587760000,0,1,1,0,0,0,"R11796"
-587750000,0,1,1,0,0,0,"R11796"
-587740000,0,1,1,0,0,0,"R11796"
-587730000,0,1,1,0,0,0,"R11796"
-587680000,0,0,0,0,0,0,"R11796"
-587670000,0,0,0,0,0,0,"R11796"
-587650000,0,0,0,0,0,0,"R11796"
-587600000,0,0,0,1,0,0,"R11796"
-587590000,0,0,0,1,0,0,"R11796"
-587580000,0,0,0,1,0,0,"R11796"
-587550000,0,1,0,0,0,0,"R11921"
-587520000,0,0,0,0,0,0,"R11796"
-587510000,0,1,0,1,0,0,"R11796"
-587440000,0,1,0,0,1,0,"R11796"
-587430000,1,0,1,0,0,0,"R11796"
-587410000,0,0,0,0,0,0,"R11796"
-587400000,1,0,1,0,0,0,"R11796"
-587370000,0,1,1,0,1,0,"R11796"
-587360000,0,0,0,0,1,0,"R11796"
-587350000,0,0,0,0,1,0,"R11796"
-587340000,1,0,0,1,0,0,"R11796"
-587300000,0,1,0,0,1,0,"R11921"
-587280000,0,1,0,0,0,0,"R11796"
-587260000,0,1,0,0,0,0,"R11796"
-587250000,0,1,0,0,0,0,"R11796"
-587240000,0,1,0,0,0,0,"R11796"
-587230000,0,1,0,0,0,0,"R11796"
-587210000,0,0,0,0,0,0,"R11796"
-587200000,0,0,0,0,0,0,"R11796"
-587180000,0,0,0,0,0,0,"R11796"
-587160000,0,0,0,0,0,0,"R11796"
-587140000,0,0,0,0,0,0,"R11796"
-587130000,0,0,0,0,0,0,"R11796"
-587120000,0,0,0,0,1,0,"R11796"
-587090000,0,1,0,1,0,0,"R11796"
-587060000,0,0,0,0,0,0,"R11796"
-587050000,0,0,0,0,0,0,"R11796"
-587040000,0,0,0,0,0,0,"R11796"
-587030000,0,0,0,0,0,0,"R11796"
-587020000,0,0,0,0,0,0,"R11796"
-587010000,0,0,0,0,0,0,"R11796"
-5.87e+08,0,0,0,0,0,0,"R11796"
-586990000,0,0,0,0,0,0,"R11796"
-586980000,0,0,0,0,0,0,"R11796"
-586960000,0,1,1,0,0,0,"R11796"
-586950000,0,1,1,0,0,0,"R11796"
-586940000,0,1,1,0,0,0,"R11796"
-586920000,0,0,0,0,0,0,"R11796"
-586910000,0,1,0,1,0,0,"R11796"
